,Unnamed: 0,Type,Month-year,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario ,"Oshawa, Ontario ",Manitoba,Saskatchewan,Alberta,British Columbia ,Month-Year
0,0,House and Land,Jan-81,38.2,,,,,,,,,,,,1981-01-01
1,1,House and Land,Feb-81,38.7,,,,,,,,,,,,1981-02-01
2,2,House and Land,Mar-81,39.3,,,,,,,,,,,,1981-03-01
3,3,House and Land,Apr-81,39.9,,,,,,,,,,,,1981-04-01
4,4,House and Land,May-81,40.6,,,,,,,,,,,,1981-05-01
5,5,House and Land,Jun-81,40.8,,,,,,,,,,,,1981-06-01
6,6,House and Land,Jul-81,40.8,,,,,,,,,,,,1981-07-01
7,7,House and Land,Aug-81,40.6,,,,,,,,,,,,1981-08-01
8,8,House and Land,Sep-81,40.4,,,,,,,,,,,,1981-09-01
9,9,House and Land,Oct-81,40.3,,,,,,,,,,,,1981-10-01
10,10,House and Land,Nov-81,40.2,,,,,,,,,,,,1981-11-01
11,11,House and Land,Dec-81,40.3,,,,,,,,,,,,1981-12-01
12,12,House and Land,Jan-82,40.3,,,,,,,,,,,,1982-01-01
13,13,House and Land,Feb-82,40.3,,,,,,,,,,,,1982-02-01
14,14,House and Land,Mar-82,40.1,,,,,,,,,,,,1982-03-01
15,15,House and Land,Apr-82,39.9,,,,,,,,,,,,1982-04-01
16,16,House and Land,May-82,39.6,,,,,,,,,,,,1982-05-01
17,17,House and Land,Jun-82,39.3,,,,,,,,,,,,1982-06-01
18,18,House and Land,Jul-82,39.0,,,,,,,,,,,,1982-07-01
19,19,House and Land,Aug-82,38.8,,,,,,,,,,,,1982-08-01
20,20,House and Land,Sep-82,38.4,,,,,,,,,,,,1982-09-01
21,21,House and Land,Oct-82,38.3,,,,,,,,,,,,1982-10-01
22,22,House and Land,Nov-82,38.0,,,,,,,,,,,,1982-11-01
23,23,House and Land,Dec-82,37.9,,,,,,,,,,,,1982-12-01
24,24,House and Land,Jan-83,37.9,,,,,,,,,,,,1983-01-01
25,25,House and Land,Feb-83,37.9,,,,,,,,,,,,1983-02-01
26,26,House and Land,Mar-83,37.8,,,,,,,,,,,,1983-03-01
27,27,House and Land,Apr-83,37.8,,,,,,,,,,,,1983-04-01
28,28,House and Land,May-83,37.7,,,,,,,,,,,,1983-05-01
29,29,House and Land,Jun-83,37.8,,,,,,,,,,,,1983-06-01
30,30,House and Land,Jul-83,37.8,,,,,,,,,,,,1983-07-01
31,31,House and Land,Aug-83,38.0,,,,,,,,,,,,1983-08-01
32,32,House and Land,Sep-83,38.0,,,,,,,,,,,,1983-09-01
33,33,House and Land,Oct-83,37.9,,,,,,,,,,,,1983-10-01
34,34,House and Land,Nov-83,38.0,,,,,,,,,,,,1983-11-01
35,35,House and Land,Dec-83,37.9,,,,,,,,,,,,1983-12-01
36,36,House and Land,Jan-84,38.0,,,,,,,,,,,,1984-01-01
37,37,House and Land,Feb-84,38.0,,,,,,,,,,,,1984-02-01
38,38,House and Land,Mar-84,38.1,,,,,,,,,,,,1984-03-01
39,39,House and Land,Apr-84,38.2,,,,,,,,,,,,1984-04-01
40,40,House and Land,May-84,38.2,,,,,,,,,,,,1984-05-01
41,41,House and Land,Jun-84,38.1,,,,,,,,,,,,1984-06-01
42,42,House and Land,Jul-84,38.1,,,,,,,,,,,,1984-07-01
43,43,House and Land,Aug-84,38.0,,,,,,,,,,,,1984-08-01
44,44,House and Land,Sep-84,37.9,,,,,,,,,,,,1984-09-01
45,45,House and Land,Oct-84,37.9,,,,,,,,,,,,1984-10-01
46,46,House and Land,Nov-84,37.8,,,,,,,,,,,,1984-11-01
47,47,House and Land,Dec-84,37.9,,,,,,,,,,,,1984-12-01
48,48,House and Land,Jan-85,38.0,,,,,,,,,,,,1985-01-01
49,49,House and Land,Feb-85,38.0,,,,,,,,,,,,1985-02-01
50,50,House and Land,Mar-85,38.1,,,,,,,,,,,,1985-03-01
51,51,House and Land,Apr-85,38.1,,,,,,,,,,,,1985-04-01
52,52,House and Land,May-85,38.1,,,,,,,,,,,,1985-05-01
53,53,House and Land,Jun-85,38.3,,,,,,,,,,,,1985-06-01
54,54,House and Land,Jul-85,38.4,,,,,,,,,,,,1985-07-01
55,55,House and Land,Aug-85,38.5,,,,,,,,,,,,1985-08-01
56,56,House and Land,Sep-85,38.8,,,,,,,,,,,,1985-09-01
57,57,House and Land,Oct-85,38.9,,,,,,,,,,,,1985-10-01
58,58,House and Land,Nov-85,39.2,,,,,,,,,,,,1985-11-01
59,59,House and Land,Dec-85,39.3,,,,,,,,,,,,1985-12-01
60,60,House and Land,Jan-86,39.8,38.7,,50.7,70.5,38.5,36.7,,34.7,29.9,26.4,66.3,1986-01-01
61,61,House and Land,Feb-86,40.3,38.8,,50.7,71.6,38.8,37.3,,34.8,30.1,26.8,66.4,1986-02-01
62,62,House and Land,Mar-86,40.6,38.8,,50.7,71.6,39.0,37.7,,35.0,30.2,26.9,66.4,1986-03-01
63,63,House and Land,Apr-86,40.8,38.9,,51.1,71.6,39.3,38.0,,35.4,30.3,26.9,66.8,1986-04-01
64,64,House and Land,May-86,41.1,39.1,,50.8,72.6,39.4,38.4,,35.4,30.6,26.9,67.1,1986-05-01
65,65,House and Land,Jun-86,41.3,39.1,,50.8,72.5,39.5,38.8,,35.7,30.6,27.0,66.9,1986-06-01
66,66,House and Land,Jul-86,41.6,39.3,,50.8,72.5,39.8,39.2,,35.9,30.6,27.0,66.8,1986-07-01
67,67,House and Land,Aug-86,42.0,39.5,,50.9,72.8,40.3,39.9,,36.1,30.7,27.1,66.8,1986-08-01
68,68,House and Land,Sep-86,42.8,39.5,,51.1,72.8,40.8,41.2,,36.4,30.8,27.1,67.2,1986-09-01
69,69,House and Land,Oct-86,43.2,39.4,,51.2,72.8,41.2,41.8,,36.4,30.9,27.1,67.2,1986-10-01
70,70,House and Land,Nov-86,43.8,39.7,,51.5,72.8,41.8,42.7,,36.6,31.1,27.2,67.1,1986-11-01
71,71,House and Land,Dec-86,44.0,39.7,,51.5,72.8,42.1,43.1,,36.7,31.3,27.2,67.1,1986-12-01
72,72,House and Land,Jan-87,44.4,39.7,,51.5,72.8,42.8,43.6,,36.9,31.3,27.2,67.1,1987-01-01
73,73,House and Land,Feb-87,45.2,40.9,,51.8,76.0,43.2,44.5,,37.2,31.4,27.4,68.0,1987-02-01
74,74,House and Land,Mar-87,46.6,41.0,,51.8,76.0,44.1,46.6,,37.8,31.4,27.6,68.8,1987-03-01
75,75,House and Land,Apr-87,47.1,41.1,,51.8,76.0,44.6,47.4,,37.9,31.5,27.7,69.0,1987-04-01
76,76,House and Land,May-87,47.5,41.2,,52.6,76.0,45.1,47.9,,37.8,31.7,27.9,69.0,1987-05-01
77,77,House and Land,Jun-87,47.7,41.2,,52.9,76.0,45.4,48.2,,37.8,31.8,28.0,69.0,1987-06-01
78,78,House and Land,Jul-87,48.0,41.3,,52.9,76.0,45.6,48.4,,38.0,31.9,28.1,69.0,1987-07-01
