,REF_DATE,GEO,Population estimate
1556,Jan-81,Canada,24665355
1557,Jan-81,Newfoundland and Labrador,573420
1558,Jan-81,Prince Edward Island,123315
1559,Jan-81,Nova Scotia,853673
1560,Jan-81,New Brunswick,704763
1561,Jan-81,Quebec,6523258
1562,Jan-81,Ontario,8770591
1563,Jan-81,Manitoba,1033968
1564,Jan-81,Saskatchewan,971544
1565,Jan-81,Alberta,2249907
1566,Jan-81,British Columbia,2790754
1567,Jan-81,Yukon,23311
1568,Jan-81,Northwest Territories including Nunavut,46851
1569,Apr-81,Canada,24732826
1570,Apr-81,Newfoundland and Labrador,574199
1571,Apr-81,Prince Edward Island,123285
1572,Apr-81,Nova Scotia,854024
1573,Apr-81,New Brunswick,705241
1574,Apr-81,Quebec,6534508
1575,Apr-81,Ontario,8787156
1576,Apr-81,Manitoba,1034805
1577,Apr-81,Saskatchewan,973372
1578,Apr-81,Alberta,2270227
1579,Apr-81,British Columbia,2805394
1580,Apr-81,Yukon,23517
1581,Apr-81,Northwest Territories including Nunavut,47098
1582,Jul-81,Canada,24819915
1583,Jul-81,Newfoundland and Labrador,575302
1584,Jul-81,Prince Edward Island,123551
1585,Jul-81,Nova Scotia,854871
1586,Jul-81,New Brunswick,706438
1587,Jul-81,Quebec,6547207
1588,Jul-81,Ontario,8812286
1589,Jul-81,Manitoba,1035545
1590,Jul-81,Saskatchewan,975759
1591,Jul-81,Alberta,2291104
1592,Jul-81,British Columbia,2826558
1593,Jul-81,Yukon,23880
1594,Jul-81,Northwest Territories including Nunavut,47414
1595,Oct-81,Canada,24920120
1596,Oct-81,Newfoundland and Labrador,575276
1597,Oct-81,Prince Edward Island,123496
1598,Oct-81,Nova Scotia,857038
1599,Oct-81,New Brunswick,706008
1600,Oct-81,Quebec,6558545
1601,Oct-81,Ontario,8846005
1602,Oct-81,Manitoba,1037183
1603,Oct-81,Saskatchewan,979469
1604,Oct-81,Alberta,2319715
1605,Oct-81,British Columbia,2845212
1606,Oct-81,Yukon,24120
1607,Oct-81,Northwest Territories including Nunavut,48053
1608,Jan-82,Canada,24979229
1609,Jan-82,Newfoundland and Labrador,573343
1610,Jan-82,Prince Edward Island,123335
1611,Jan-82,Nova Scotia,857469
1612,Jan-82,New Brunswick,705608
1613,Jan-82,Quebec,6565745
1614,Jan-82,Ontario,8865774
1615,Jan-82,Manitoba,1039300
1616,Jan-82,Saskatchewan,981559
1617,Jan-82,Alberta,2337458
1618,Jan-82,British Columbia,2857268
1619,Jan-82,Yukon,24302
1620,Jan-82,Northwest Territories including Nunavut,48068
1621,Apr-82,Canada,25042069
1622,Apr-82,Newfoundland and Labrador,573292
1623,Apr-82,Prince Edward Island,123225
1624,Apr-82,Nova Scotia,857592
1625,Apr-82,New Brunswick,706179
