,Unnamed: 0,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6","Starts by intended market, 1 total",Newly completed and unabsorbed homes2,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5,Consumer Price Index (%  change)4,Owned accommodation costs (%  change)4,Labour force participation rate (% )3,Employment (%  change)4,Unemployment rate (% )3,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Teranet - National Bank House Price Index (% change)7, One-bedroom, Two-bedroom,3+ bedroom,Vacancy Rate (Standard Spaces) in Seniors' Rental 9,"New Housing Price Index (% change)4,8","Teranet - National Bank House Price Index (% change)7,8","Consumer Price Index (% change)4,8","Owned accommodation costs (% change)4,8","Rental accommodation costs (% change)4,8","New Housing Price Index (% change)4,7","Consumer Price Index (% change)4,7","Owned accommodation costs (% change)4,7","Rental accommodation costs (% change)4,7"
0,1990,1866,900,966,46,200,720,1866,908,350,608,0,2115,0,0,0,0,0,2.8,0,0,0,0,0,0,0,352,450,588,608,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1991,1847,923,924,86,339,499,1847,908,376,563,0,1591,0,0,0,0,0,3,0,0,0,0,0,0,0,368,465,600,640,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1993,1678,914,764,102,266,396,1678,889,118,671,0,1705,0,0,214,79,135,1.5,0,0,0,0,0,0,0,374,476,615,673,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1993.1,2045,623,1422,208,230,984,2045,622,88,1335,0,1731,0,0,383,145,238,2.4,0,0,0,0,0,0,0,376,486,635,701,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1994,1600,727,873,154,202,517,1600,719,115,766,0,1996,0,0,620,215,405,2.9,0,0,0,0,0,0,0,388,501,640,786,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1995,886,429,457,60,8,389,886,417,142,327,0,1156,0,0,533,129,404,7.7,0,0,0,0,0,0,0,408,498,651,727,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1996,865,556,309,8,75,226,865,552,5,308,0,940,0,0,377,83,294,6,0,0,0,0,0,0,0,401,501,645,741,143.086,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1997,871,527,344,60,10,274,871,522,59,290,0,937,0,0,321,88,233,5.1,0,0,0,0,0,0,0,406,500,628,756,145.868,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1998,536,426,110,34,21,55,536,393,61,82,0,744,0,0,389,150,239,7.4,0,0,0,0,0,0,0,411,501,633,715,148.238,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1999,566,400,166,18,56,92,566,402,92,72,0,589,0,0,296,120,176,6.7,0,0,0,0,0,0,0,408,499,630,721,149.83,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
