,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, 1 total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes2,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5
1990,17227,13809,3418,670,1345,1403,14432,11497,777,1475,683,17467,17238,1539.834,0,0,0,2.3,0,0,13.8917525773196,5.74685626983195,0,9.27012958245652,5.33820006843845,339,428,532,577,2547.788,72.5416666666666,2.04119688059829,6.9,0,0
1991,12492,9778,2714,769,1049,896,10107,8624,405,894,184,12959,13993,1239.705,0,0,0,3,0,0,-0.701516180131249,5.83462991775949,0,5.51388607338333,4.40714672441797,356,445,550,607,2592.306,72.5916666666666,0.590646251843736,8.19999999999999,-0.843700135803879,0
1992,13809,14125,4448,1150,1898,1400,15525,12856,668,1780,221,16307,19594,1751.518,1381,1016,365,4.9,0,0,0.706472196900636,1.51212853092513,0,0.528338136407311,2.87284795685542,366,452,553,608,2632.672,72.2,-0.345169892361498,9.5,0.514446648044256,10420
1993,18151,13040,5111,1306,2213,1592,15123,11474,533,2985,131,17859,19559,1704.75,1980,1493,487,6,0,0,3.25865580448064,1.09651391331333,0,0.162446249402753,1.57273918741808,367,449,548,601,2667.292,71.75,0.684918128845338,9.6,4.49655592731579,6862
1994,17692,12671,5021,1068,1676,2277,13905,10442,220,3116,127,18671,18006,1616.744,2362,1536,826,7.1,0,0,1.79706333552488,1.46321498004707,0,-0.620110665903442,1.08188585607941,361,444,541,589,2700.606,72.0166666666666,2.77599953442356,8.8,0.419112431760469,7273
1995,13906,10096,3810,592,1340,1878,10541,7747,196,2575,23,13373,14203,1283.552,2545,1398,1147,7.2,0,0,-0.0430570505920297,2.2892295280355,0,1.919938561966,1.09976433621365,354,439,540,589,2734.519,72.2583333333333,3.04894928903989,7.8,0.470283483261714,8835
1996,16665,12949,3716,1049,1203,1464,12475,10385,177,1909,4,16357,17393,1658.26,1852,1062,790,4.8,0,0,0.473831574413085,2.16898353544316,0,-0.0847697089573357,1.18492618492618,359,441,543,596,2775.133,72.3333333333333,2.98255040113318,6.9,1.84329190216214,16607
1997,23671,18170,5501,1458,1691,2352,18938,15072,379,3471,16,20259,24743,2437.295,1346,1045,301,2.7,0,0,5.01607717041801,2.06503908134709,0,-0.179110105580691,1.38222307544634,369,461,565,613,2829.848,72.1666666666666,3.38706713068636,5.9,5.53625992379486,34421
1998,27122,20077,7045,1428,1512,4105,21725,16244,699,4764,18,25071,27964,2789.694,1765,1453,312,1.4,0,0,6.53194529495815,1.15344615675523,6.20228009622423,1.69987723108886,2.41431547055481,402,498,607,648,2899.066,72.5999999999999,3.83120011010184,5.6,5.77159609056102,48984
1999,25447,16688,8759,1570,1424,5765,20216,13431,1260,5507,18,24015,26359,2588.444,2152,1600,552,2.4,0,0,4.06208085840199,2.45817366108981,4.65333858577901,2.47005292970563,2.41286863270777,416,517,633,675,2952.692,72.6166666666666,2.2776351034159,5.7,2.23571076655311,32652
