,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Consumer Price Index (%  change)4,Owned accommodation costs (%  change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (% )3,Employment (%  change)4,Unemployment rate (% )3,"Net migration4,6"
1990,2695,1390,1305,48,120,1137,2695,1516,422,440,317,2680,0,0,0,0,0,2.1,0,0,0,0,0,0,0,401,517,625,773,0,0,0,0,0
1991,1266,867,399,28,202,169,1266,911,301,54,0,2077,0,0,0,0,0,3.5,0,0,0,0,0,0,0,416,551,654,793,0,0,0,0,0
1992,1106,687,419,0,231,188,1106,870,190,46,0,1399,0,0,174,82,92,1.3,0,0,0,0,0,0,0,440,557,653,757,0,0,0,0,0
1993,845,843,2,2,0,0,845,845,0,0,0,1050,0,0,139,94,45,1.6,0,0,0,0,0,0,0,469,570,670,813,0,0,0,0,0
1994,759,661,98,2,96,0,759,736,23,0,0,759,0,0,80,52,28,1.5,0,0,0,0,0,0,0,474,587,687,813,0,0,0,0,0
1995,839,611,228,96,132,0,839,839,0,0,0,600,0,0,60,50,10,1.3,0,0,0,0,0,0,0,483,605,712,844,0,0,0,0,0
1996,1320,1123,197,86,105,6,1320,1314,6,0,0,1104,0,0,48,33,15,1.9,0,0,0,0,0,0,0,497,609,713,837,0,0,0,0,0
1997,1857,1517,340,78,247,15,1857,1842,15,0,0,1746,0,0,93,58,35,1.2,0,0,0,0,0,0,0,530,619,737,865,0,0,0,0,0
1998,1930,1409,521,184,314,23,1930,1844,78,8,0,1822,0,0,148,107,41,1,0,0,0,0,0,0,0,538,661,774,925,0,0,0,0,0
1999,2722,2082,640,60,447,133,2722,2565,24,133,0,2676,0,0,240,162,78,1,0,0,0,0,0,0,0,550,664,788,894,0,0,0,0,0
2000,2043,1677,366,74,223,69,2043,1974,69,0,0,2230,0,0,108,74,34,0.5,0,0,0,0,0,0,0,564,695,830,977,0,0,0,0,0
