,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,651,289,362,120,165,77,651,409,111,131,0,760,0,0,0,0,0,0.8,0,0,0,0,0,0,328,436,475,475,0,0,0,0,0
1991,453,183,270,58,64,148,453,244,181,28,0,340,0,0,0,0,0,2.4,0,0,0,0,0,0,340,479,537,550,0,0,0,0,0
1992,605,299,306,64,92,150,605,366,217,22,0,647,0,0,82,48,34,2.7,0,0,0,0,0,0,406,503,541,597,0,0,0,0,0
1993,434,298,136,54,82,0,434,404,0,30,0,390,0,0,75,64,11,4.2,0,0,0,0,0,0,405,519,572,637,0,0,0,0,0
1994,361,225,136,40,96,0,361,313,0,48,0,528,0,0,69,54,15,3.1,0,0,0,0,0,0,392,529,593,647,0,0,0,0,0
1995,240,117,123,22,101,0,240,162,0,78,0,283,0,0,93,29,64,2.9,0,0,0,0,0,0,415,563,606,658,0,0,0,0,0
1996,180,146,34,22,12,0,180,176,0,4,0,189,0,0,39,34,5,7,0,0,0,0,0,0,432,540,610,679,0,0,0,0,0
1997,296,214,82,32,50,0,296,263,0,33,0,264,0,0,62,48,14,4.7,0,0,0,0,0,0,443,545,612,679,0,0,0,0,0
1998,357,270,87,16,71,0,357,255,0,102,0,355,0,0,44,30,14,5.2,0,0,0,0,0,0,454,571,617,681,0,0,0,0,0
1999,377,311,66,24,22,20,377,335,12,30,0,338,0,0,20,17,3,2.5,0,0,0,0,0,0,431,559,614,670,0,0,0,0,0
2000,485,374,111,30,81,0,485,409,0,76,0,414,0,0,32,17,15,2.9,0,0,0,0,0,0,457,573,639,690,0,0,0,0,0
2001,475,360,115,46,69,0,475,412,0,63,0,464,0,0,13,13,0,1.8,0,0,0,0,0,0,465,600,653,713,128.504,65.2,0,6.8,0
2002,700,563,137,36,61,40,700,598,0,91,11,538,0,0,7,7,0,2.1,0,0,0,0,0,0,507,596,665,738,129.629,66.8,3.23679727427597,7.3,839
2003,458,388,70,6,64,0,458,392,0,66,0,459,0,0,21,17,4,3.2,0,0,0,0,0,0,524,629,675,747,131.1,68.7,5.77557755775576,6.1,1181
2004,482,414,68,6,62,0,482,427,0,55,0,542,0,0,39,21,18,1.7,0,0,0,0,0,0,516,633,684,758,132.612,66.3,-2.49609984399375,6.7,1210
2005,534,331,203,4,139,60,534,332,71,128,3,475,0,0,83,63,20,1.8,2.9,0,0,0,0,0,502,661,722,824,134.391,68.0999999999999,4.47999999999999,6.6,1361
2006,409,357,52,2,47,3,409,359,3,47,0,486,688,79.983,122,88,34,2.3,3.5,0,0,0,0,0,529,639,712,800,135.417,68,1.83767228177642,6.1,312
2007,589,466,123,16,107,0,589,508,0,81,0,484,678,85.583,143,105,38,2.9,4.6,0,0,0,0,0,544,676,749,809,136.33,69.7,3.45864661654134,5.9,815
2008,432,283,149,4,116,29,432,334,15,83,0,523,573,66.002,116,72,44,2.4,2.8,0,0,0,0,0,557,674,752,813,136.972,69.0999999999999,-0.145348837209294,6,539
2009,317,258,59,14,42,3,317,283,3,31,0,376,396,43.114,86,42,44,3.3,3.9,4.6,0,0,0,0,566,685,754,825,137.741,71.5,-0.145560407569153,10,612
2010,504,280,224,10,143,71,504,370,66,68,0,388,552,68.22,64,29,35,3.7,5.7,7.4,0,0,0,0,592,695,778,839,138.465,68.8,-1.74927113702622,8.8,486
2011,428,231,197,4,132,61,428,277,70,81,0,350,485,63.887,59,32,27,1.8,3.1,9.8,0,0,0,0,654,726,792,900,139.388,69.0999999999999,1.63204747774479,8.6,1194
2012,402,286,116,12,101,3,402,365,4,33,0,437,455,66.926,46,28,18,3.5,5.2,6.5,0,0,0,0,620,728,838,900,140.425,67.4,-1.45985401459854,8.4,735
2013,396,261,135,10,125,0,396,354,0,42,0,427,432,65.622,54,24,30,2.9,4.3,4.7,0,0,0,0,604,752,835,934,141.789,66.7,2.07407407407408,6.4,1092
2014,416,278,138,2,76,60,416,281,68,67,0,411,449,98.274,38,28,10,2.4,3.2,4.9,0,0,0,0,648,782,855,946,142.847,66.2,-0.435413642960829,6.8,814
2015,789,265,524,16,203,305,789,464,153,172,0,594,825,160.678,60,41,19,2.5,3.8,11.1,0,0,0,0,627,779,870,950,143.864,65.7,1.02040816326531,5.7,804
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
state,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford,brantford
