,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, 1 total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes2,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5
1990,36720,18478,18242,1222,5194,11826,31506,14493,3540,12725,748,37655,32595,2804.333,0,0,0,0.9,0,0,5.8560794044665,5.4335648666816,0,7.3236889692586,6.38597250784715,445,528,645,739,3292.111,66.8916666666666,3.40447631728702,8.4,0,0
1991,31875,18335,13540,1174,3302,9064,27633,14804,3921,8411,497,29578,33271,3007.172,0,0,0,2,0,0,-6.48851383028597,5.31293167569864,0,0.750555257716164,4.4867229626615,449,549,663,764,3373.787,66.925,1.14074129483487,9.9,-0.494695365387106,0
1992,40621,21472,19149,1910,5366,11873,34599,17403,3457,13405,334,36050,40629,3853.117,3569,1352,2217,1.8,0,0,8.33249774390854,2.69397638986984,0,1.60395286963132,2.99902629016554,460,562,682,788,3468.802,66.8916666666666,2.51988969539446,10.1,2.93407425017999,64545
1993,42807,17787,25020,2767,5389,16864,38173,15414,3203,19495,61,42047,41694,4080.533,5453,2204,3249,1.4,0,0,7.12699000370233,3.51739044999018,0,3.40415980846924,2.39175647570429,474,579,699,810,3567.772,66.7,3.13865528897682,9.69999999999999,1.71997645450259,69968
1994,39408,16591,22817,2539,5164,15114,34619,14000,1988,18631,0,41168,40082,4188.596,6736,2437,4299,1.4,0,0,-0.639364091930187,1.98367501898253,0,-0.85377324361479,1.95734465884959,489,590,716,825,3676.075,67.0999999999999,4.51400164872224,9.1,2.10208795429106,78684
1995,27057,11581,15476,1607,2964,10905,23604,9277,1215,13014,98,33772,27391,3135.567,7593,2078,5515,2.3,0,0,-5.4695652173913,2.28943694741741,0,-0.78814858060278,1.57565878837271,510,603,725,847,3777.39,66.2583333333333,2.42841436015105,8.5,2.09429011941158,71935
1996,27641,12447,15194,1528,3364,10302,24744,10895,1571,12194,84,25920,32410,3759.413,5237,1633,3604,2.8,0,0,-6.14478888786681,0.873441907014831,0,-3.56748804707613,1.60470714094677,522,617,737,851,3874.317,65.6166666666666,1.56018107994586,8.69999999999999,0.630880414167129,69377
1997,29351,12911,16440,1979,3469,10992,25210,10728,2361,11987,134,30794,28701,3255.533,5584,1810,3774,3.4,0,0,-3.16573556797019,0.766663660142496,0,-3.82913806254767,1.09677985434764,528,625,739,889,3948.583,65.6083333333333,2.56142785587258,8.5,2.26855536291631,55682
1998,19931,8691,11240,1218,2117,7905,17631,7647,920,9064,0,23458,20943,2418.517,6448,1939,4509,5,0,0,-5.11133603238866,0.277479412817763,3.989950604667,-3.55329949238578,0.676965804547827,545,626,746,852,3983.113,64.9333333333333,-0.118286459336791,8.8,1.39037953772265,17953
1999,16309,8731,7578,816,1444,5318,14176,7414,1656,5085,21,18478,18629,2301.567,4767,1225,3542,5,0,0,-4.08533333333332,1.08899401945907,-0.679742844273381,-2.08881578947367,0.465517241379298,540,631,742,842,4011.375,65.0416666666666,1.93609452591253,8.3,4.11326759227066,12571
2000,14418,7448,6970,885,1675,4410,12353,6603,1607,4063,80,16784,15739,2062.721,4351,1298,3053,3.6,0,0,-1.2344306049822,1.84547461368654,2.05730777159349,-0.0251973794725405,0.429037240432474,552,640,753,845,4039.23,64.775,1.95829061032656,7.2,1.82272462926289,13060
2001,17234,7862,9372,916,1686,6770,15689,7287,3826,4447,129,14280,17542,2472.756,1994,792,1202,2.6,0,0,0.720639567616239,1.66464366221604,0.751393714147214,0.806519364866011,1.12781954887218,573,665,772,874,4076.881,64.0083333333333,-0.508440193535296,7.7,4.2202919752432,25990
2002,21625,10730,10895,1225,2305,7365,20314,10663,2068,7526,57,20108,24772,3499.296,1423,752,671,3.1,0,0,2.59362772498603,2.32815964523282,2.40978348035284,0.00833402783564539,1.38560324433929,584,679,795,919,4100.161,64.9833333333333,1.64113643166704,8.5,3.93970415223176,24848
2003,26174,12252,13922,1353,3297,9272,24720,11898,1613,11179,30,22045,27163,4082.042,1184,805,379,3.1,0,0,3.65043042388579,2.19184932077673,1.58960103363218,1.67499999999999,1.025,602,695,806,917,4123.937,65.5333333333333,2.33766122905409,8,1.21917027316008,24737
2004,32925,14056,18869,2062,4387,12420,30874,12993,1601,16258,22,24801,34898,5263.669,1491,1110,381,2.4,0,0,5.31959629941127,2.01435328657642,-1.16005703934944,2.24571756413408,0.965107646622117,613,708,821,945,4155.017,65.25,1.51102510311922,7.2,3.95426694047875,33573
