,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Teranet - National Bank House Price Index (% change)7,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,7004,5564,1440,276,693,471,7004,5353,296,766,589,7509,6531,631.429,0,0,0,2,0,0,0,12.3971631205673,0,6.19320899091344,9.29422342099347,6.21161200602619,349,456,584,591,749.955,0,0,0,0
1991,4750,4150,600,258,170,172,4750,4317,147,177,109,5065,5260,525.391,0,0,0,3.7,0,0,0,-2.67541645633517,0,5.97838324701643,4.84318766066837,4.05891980360066,361,471,599,618,766.34,0,0,0,0
1992,7034,5982,1052,362,516,174,7034,6291,94,568,81,6509,7252,736.504,554,403,151,5.5,0,0,0,0.570539419087125,0,1.2960798895145,-0.0196155355041181,2.24389220929013,371,476,598,616,780.841,0,0,0,0
1993,6629,5220,1409,328,841,240,6629,5422,247,958,2,6286,6492,654.876,641,550,91,5.9,0,0,0,3.04280556988139,0,1.36339800734137,-0.519913674710609,1.48702697159265,358,470,584,597,791.875,0,0,0,0
1994,6877,5179,1698,338,686,674,6877,5443,61,1373,0,6823,6900,687.374,671,586,85,5.1,0,0,0,2.45245245245244,0,1.42783238489394,-1.3608125431417,1.22271624898948,352,466,585,589,807.312,0,0,0,0
1995,5685,4387,1298,226,541,531,5685,4539,26,1120,0,5674,6220,598.491,976,670,306,3.6,0,0,0,0.732779677576926,0,2.30541670917066,2.33929821053684,1.6471997604073,355,464,584,597,825.277,0,0,0,0
1996,7111,5862,1249,292,442,515,7111,6030,17,1064,0,6781,7618,799.998,692,515,177,1.5,0,0,0,0.994180407371487,0,2.12384086150165,-0.0293054605841621,1.59104301708899,367,473,595,602,840.482,0,0,0,0
1997,11215,8656,2559,488,954,1117,11215,8928,128,2159,0,9185,11700,1250.875,551,511,40,0.5,0,0,0,6.62665066026411,0,2.17730911931262,1.18233339847567,1.58546017014693,387,511,635,630,868.65,0,0,0,0
1998,12495,9219,3276,526,792,1958,12495,9438,64,2993,0,12111,12914,1395.01,865,796,69,0.6,0,0,0,7.61089844629588,0,1.46201624462493,2.5977788507967,3.37837837837839,431,574,707,682,900.434,0,0,0,0
1999,10600,6613,3987,576,620,2791,10600,6846,237,3517,0,9655,10589,1192.575,1150,944,206,2.8,0,0,0,4.72902280811886,0,2.61819551704653,3.04969879518072,3.09306821320077,453,600,739,704,925.783,0,0,0,0
