,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Teranet - National Bank House Price Index (% change)7,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,5921,4759,1162,206,319,637,5921,4956,235,654,76,5977,5973,530.542,0,0,0,1.8,0,0,0,15.8803986710963,0,5.31217661262504,9.38921377517868,4.91803278688523,335,413,514,577,839.377,0,0,0,0
1991,4285,3016,1269,208,681,380,4285,3367,225,634,59,4333,4572,384.929,0,0,0,2.3,0,0,0,2.27446483180428,0,5.56829348182115,6.42510642510642,4.89366319444445,355,433,533,611,854.261,0,0,0,0
1992,6764,4683,2081,354,855,872,6764,5204,413,1009,138,5819,6976,582.329,758,570,188,4,0,0,0,0.934404784152491,0,1.82025028441411,1.0046511627907,3.4343643322644,365,442,544,614,866.439,0,0,0,0
1993,6720,4202,2518,494,887,1137,6720,4658,100,1842,120,6751,7222,551.768,1267,873,394,6.5,0,0,0,3.55489724125162,0,0.802437785678002,0.72757413888377,1.77017701770176,371,441,543,611,874.276,0,0,0,0
1994,5006,3225,1781,277,434,1070,5006,3418,78,1430,80,6007,4995,386.835,1593,860,733,8.9,0,0,0,0.89397461112104,0,1.58202337767029,0.0274298253634514,0.963050314465404,365,432,524,593,876.785999999999,0,0,0,0
1995,3082,2159,923,92,212,619,3082,2195,51,813,23,3103,2959,241.926,1472,642,830,10.2,0,0,0,-1.36452241715399,0,2.06328737228449,1.62705667276051,0.613198364804367,353,423,519,586,878.77,0,0,0,0
1996,3634,2944,690,272,177,241,3634,3012,103,515,4,3619,3900,338.741,1046,473,573,7.6,0,0,0,-0.772547610492273,0,2.17708232092526,0.0179888469149117,0.831962851891266,355,421,518,591,887.515,0,0,0,0
1997,4962,3685,1277,348,215,714,4962,3807,125,1022,8,4143,5665,467.668,658,449,209,4.6,0,0,0,1.75629187036031,0,1.7882621516218,-1.34892086330935,1.41034251175284,359,429,525,595,900.471,0,0,0,0
1998,5947,4080,1867,278,241,1348,5947,4235,448,1246,18,5359,6100,514.923,741,545,196,1.9,0,0,0,3.45195729537366,0,0.897112419400056,0.619872379216039,1.32450331125828,389,450,551,624,918.912,0,0,0,0
1999,6655,4075,2580,434,280,1866,6655,4196,708,1745,6,5639,6876,549.589,742,552,190,2.2,0,0,0,1.97798417612659,0,2.31545799759191,1.58543214350425,2.03548085901026,402,468,576,656,934.43,0,0,0,0
2000,6228,4072,2156,370,237,1549,6228,4199,548,1481,0,6367,7106,616.078,877,647,230,1.4,0,0,0,2.05768257716309,5.67739928449213,3.3040644518874,3.28190493177561,2.351756954612,421,489,601,670,949.819,0,0,0,0
2001,7855,4959,2896,586,110,2200,7855,5143,1138,1570,4,7493,8426,747.235,674,449,225,0.9,0,0,0,1.55346223764667,8.83132175448926,2.16438836312652,2.47819704688715,2.97720160929817,458,537,654,734,962.323,70.5,0,5,0
2002,12581,6860,5721,1082,513,4126,12581,7189,2188,3204,0,8614,12694,1187.672,481,386,95,1.7,0,0,0,7.24165988608625,12.6859615904787,2.91620207564971,1.10380856083586,4.18475429762111,490,575,709,776,984.538,71.2,3.46456692913386,5.2,12334
