,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 9,"New Housing Price Index (% change)4,8","Teranet - National Bank House Price Index (% change)7,8","Consumer Price Index (% change)4,8","Owned accommodation costs (% change)4,8","Rental accommodation costs (% change)4,8",  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,3309,1249,2060,934,150,976,3309,2279,763,261,6,3695,3733,273.039,0,0,0,4.2,0,0,3.95577012926335,0,0,0,0,347,418,476,544,226.042,0,0,0,0
1991,3346,909,2437,1576,209,652,3346,2774,403,163,6,2870,3549,270.715,0,0,0,4.9,0,0,-0.389513108614229,0,0,0,0,359,427,501,568,232.901,0,0,0,0
1992,2368,817,1551,776,159,616,2368,1751,484,133,0,2763,2625,204.329,260,195,65,3.7,0,0,0.075199278086922,0,0,0,0,374,447,513,577,238.743,0,0,0,0
1993,2367,987,1380,560,233,587,2367,1780,381,205,1,2460,2448,199.128,297,224,73,4.5,0,0,-0.571085061617069,0,0,0,0,374,454,519,600,243.745,0,0,0,0
1994,2128,987,1141,531,99,511,2128,1645,419,64,0,2188,2205,186.414,258,234,24,6.6,0,0,0.226723095525992,0,0,0,0,371,447,528,595,247.269,0,0,0,0
1995,1208,548,660,378,61,221,1208,995,213,0,0,1370,1251,96.767,195,152,43,8.3,0,0,-1.77952043432361,0,0,0,0,375,452,536,590,249.584,0,0,0,0
1996,1044,528,516,282,82,152,1044,919,94,31,0,1119,1181,94.983,164,125,39,7.7,0,0,-1.55074466451713,0,0,0,0,380,443,537,598,254.809,0,0,0,0
1997,1262,638,624,322,120,182,1262,1099,106,57,0,1259,1362,110.644,197,141,56,9.4,0,0,0.686213349968795,0,0,0,0,361,443,530,595,256.748,0,0,0,0
1998,1244,687,557,196,139,222,1244,1031,161,52,0,1161,1393,117.271,199,119,80,6.7,0,0,0.697026022304838,0,0,0,0,383,447,529,596,258.649,0,0,0,0
1999,1185,640,545,154,26,365,1185,864,272,49,0,1121,1293,108.269,138,98,40,4.4,0,0,2.63036455929858,1.06877323420073,0,0,0,389,453,534,599,260.213,0,0,0,0
