,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,"New Housing Price Index (% change)4,7","Consumer Price Index (% change)4,7","Owned accommodation costs (% change)4,7","Rental accommodation costs (% change)4,7",  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,1468,819,649,73,117,459,1468,886,542,0,40,1684,1353,123.072,0,0,0,0.7,0,0,5.58364938895912,0,0,0,339,399,489,547,159.864,0,0,0,0
1991,1758,523,1235,53,324,858,1758,600,968,30,160,1108,2416,178.07,0,0,0,0.7,0,0,0.359209738575148,0,0,0,336,440,550,605,162.688,0,0,0,0
1992,1289,563,726,108,164,454,1289,671,363,32,223,1819,998,87.739,69,49,20,2.5,0,0,-0.447405050705909,0,0,0,379,475,594,636,165.208,0,0,0,0
1993,715,436,279,106,24,149,715,512,146,27,30,981,677,63.888,36,36,0,3.8,0,0,1.93748127434335,0,0,0,402,485,610,658,165.872,0,0,0,0
1994,712,448,264,93,70,101,712,537,49,0,126,853,689,64.168,69,69,0,4.3,0,0,1.36181052219064,0,0,0,398,491,610,660,165.587,0,0,0,0
1995,336,257,79,74,0,5,336,285,5,0,46,384,338,34.373,53,40,13,6,0,0,0.270635994587288,0,0,0,387,489,621,686,165.204,0,0,0,0
1996,346,300,46,32,0,14,346,332,14,0,0,270,375,41.006,13,13,0,6.8,0,0,-0.231347599768652,0,0,0,394,495,624,700,170.078,0,0,0,0
1997,281,242,39,18,0,21,281,254,27,0,0,323,284,33.11,20,20,0,7.2,0,0,-0.560386473429954,0,0,0,388,506,619,685,168.582,0,0,0,0
1998,165,161,4,4,0,0,165,165,0,0,0,217,183,21.29,19,19,0,9.4,0,0,-2.26389428682471,0,0,0,387,499,623,686,166.461,0,0,0,0
1999,199,131,68,0,0,68,199,131,68,0,0,135,226,23.247,14,14,0,11.1,0,0,-1.0239586440004,0,0,0,380,491,612,673,163.614,0,0,0,0
