,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,645,304,341,38,152,151,645,346,132,84,83,624,0,0,0,0,0,1.1,0,0,0,0,0,0,387,486,561,606,0,0,0,0,0
1991,762,328,434,38,172,224,762,366,197,155,44,577,0,0,0,0,0,0.6,0,0,0,0,0,0,500,489,579,647,0,0,0,0,0
1992,922,339,583,2,442,139,922,344,406,172,0,1002,0,0,18,16,2,2.5,0,0,0,0,0,0,466,533,618,675,0,0,0,0,0
1993,502,265,237,6,228,3,502,271,165,66,0,642,0,0,108,32,76,2.6,0,0,0,0,0,0,445,536,626,680,0,0,0,0,0
1994,503,389,114,0,0,114,503,389,114,0,0,656,0,0,100,25,75,1.6,0,0,0,0,0,0,464,557,642,688,0,0,0,0,0
1995,399,277,122,2,46,74,399,289,74,36,0,368,0,0,134,43,91,1.3,0,0,0,0,0,0,527,566,642,689,0,0,0,0,0
1996,821,644,177,42,73,62,821,756,62,3,0,741,0,0,58,50,8,2.7,0,0,0,0,0,0,462,576,658,698,0,0,0,0,0
1997,988,703,285,6,251,28,988,832,46,110,0,952,0,0,118,43,75,1.9,0,0,0,0,0,0,451,584,678,704,0,0,0,0,0
1998,966,734,232,26,206,0,966,884,0,82,0,968,0,0,52,29,23,1.6,0,0,0,0,0,0,456,593,686,744,0,0,0,0,0
1999,1003,772,231,24,207,0,1003,981,6,16,0,992,0,0,7,4,3,0.5,0,0,0,0,0,0,473,608,702,777,0,0,0,0,0
2000,1297,835,462,86,258,118,1297,1179,118,0,0,1183,0,0,28,15,13,0.7,0,0,0,0,0,0,485,647,736,824,0,0,0,0,0
2001,993,567,426,110,316,0,993,945,48,0,0,1030,0,0,48,19,29,1,0,0,0,0,0,0,528,668,764,917,129.198,73.2,0,4.9,0
2002,1138,728,410,150,260,0,1138,1095,24,19,0,1191,0,0,35,16,19,2.7,0,0,0,0,0,0,566,707,801,918,131.207,72.9,2.24403927068724,4.5,1083
2003,994,641,353,46,159,148,994,815,144,35,0,1057,0,0,28,13,15,3.9,0,0,0,0,0,0,602,706,823,927,133.154,73.9,3.29218106995883,4.6,904
2004,1420,866,554,50,242,262,1420,1077,142,201,0,1178,0,0,33,17,16,3.3,0,0,0,0,0,0,628,727,829,920,135.337,74.9,3.32005312084993,4.7,1176
2005,951,566,385,70,282,33,951,753,41,157,0,1084,0,0,54,18,36,3.6,4.9,0,0,0,0,0,619,734,830,1043,137.658,73.7,0.514138817480727,4.6,1271
2006,864,485,379,80,205,94,864,758,44,62,0,916,922,125.546,62,23,39,2.8,4.3,0,0,0,0,0,578,744,839,1143,139.329,73.9,0.89514066496164,5.5,716
2007,941,575,366,58,274,34,941,881,0,60,0,935,1078,147.908,54,15,39,1.9,3.4,0,0,0,0,0,588,743,848,1015,140.035,72.8,-0.760456273764269,5.7,515
2008,1087,425,662,44,160,458,1087,592,117,378,0,769,963,125.834,52,33,19,2.3,4.5,0,0,0,0,0,616,766,869,1021,141.399,74.4,3.57598978288633,5.6,1023
2009,567,299,268,74,124,70,567,472,0,95,0,798,831,123.397,45,20,25,4.1,6.6,5.6,0,0,0,0,648,770,874,1044,142.587,73.9,-2.46609124537607,8.19999999999999,866
