,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Teranet - National Bank House Price Index (% change)7,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,2647,1128,1519,192,99,1228,2647,1322,981,12,332,2902,2897,166.559,0,0,0,3.5,0,0,0,0.284303456531486,0,5.07512520868114,5.01050420168068,3.22612864562524,414,478,569,687,321.93,0,0,0,0
1991,2938,798,2140,132,34,1974,2938,996,1572,0,370,2645,2965,144.512,0,0,0,4.8,0,0,0,-0.238734706057886,3.08330328164443,5.84683825865903,4.48134440332099,2.92210933720367,431,501,594,731,326.577,0,0,0,0
1992,2420,1266,1154,266,45,843,2420,1531,657,0,232,2776,2588,159.449,120,48,72,5.7,0,0,0,1.13670355967693,1.95906944201504,0.870609426598629,-0.593585447582574,2.0118454451443,432,497,595,722,329.622,0,0,0,0
1993,2127,1267,860,306,65,489,2127,1605,490,0,32,2126,2419,160.372,134,76,58,6.3,0,0,0,2.98728186926945,2.72774060730829,0.962301587301573,-0.587498796109032,1.29020366786471,432,503,604,754,332.321,0,0,0,0
1994,2460,1412,1048,338,83,627,2460,1802,524,0,134,2520,2484,179.672,213,146,67,7.2,0,0,0,2.78575531303848,-0.200400801603217,1.10052078215583,-0.377833753148618,1.14639250295696,443,504,610,745,335.488,0,0,0,0
1995,2080,1173,907,262,72,573,2080,1507,546,24,3,2253,2180,164.991,254,179,75,7.7,0,0,0,2.96172115115953,-1.18808567603748,1.26348527553699,2.275600505689,0.602680579292978,444,506,615,800,337.899,0,0,0,0
1996,2022,1578,444,232,40,172,2022,1834,188,0,0,2229,2437,184.425,194,142,52,8.69999999999999,0,0,0,0.719131614654013,2.76037256562236,1.67002591419521,0.199676713891791,0.706366237482115,439,505,617,761,351.74,0,0,0,0
1997,2065,1385,680,200,58,422,2065,1639,398,0,28,1849,2098,160.121,255,192,63,7.7,0,0,0,-2.31712245722755,2.45550428477259,1.92580005664118,-0.521920668058449,0.710290331172872,444,506,616,751,355.526,0,0,0,0
1998,1739,1125,614,111,66,437,1739,1283,367,89,0,1816,1930,149.358,162,126,36,5.5,0,0,0,0.758516066749422,3.79604310760817,0.750208391219774,1.15424973767052,0.423168473948681,454,511,631,790,359.081,0,0,0,0
1999,2356,1669,687,122,20,545,2356,1817,539,0,0,2257,2740,225.345,89,82,7,3.6,0,0,0,3.24390911579524,4.81946381527971,1.70987313844457,2.03696718219539,0.500395048722684,469,523,637,790,362.942,0,0,0,0
