,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,1403,591,812,158,222,432,1403,862,424,91,26,1594,0,0,0,0,0,0.9,0,0,0,0,0,0,315,443,534,668,0,0,0,0,0
1991,792,337,455,76,31,348,792,438,348,6,0,990,0,0,0,0,0,1.5,0,0,0,0,0,0,325,466,570,762,0,0,0,0,0
1992,761,326,435,126,147,162,761,575,186,0,0,853,0,0,110,53,57,1.9,0,0,0,0,0,0,336,486,592,764,0,0,0,0,0
1993,575,302,273,186,45,42,575,533,0,42,0,779,0,0,93,58,35,2.5,0,0,0,0,0,0,359,506,619,788,0,0,0,0,0
1994,498,272,226,178,39,9,498,468,7,0,23,708,0,0,140,59,81,2.9,0,0,0,0,0,0,377,511,624,787,0,0,0,0,0
1995,323,202,121,92,29,0,323,323,0,0,0,342,0,0,96,40,56,3.2,0,0,0,0,0,0,390,512,631,868,0,0,0,0,0
1996,533,207,326,132,86,108,533,425,108,0,0,414,0,0,94,43,51,4.2,0,0,0,0,0,0,397,520,654,827,148.736,0,0,0,0
1997,559,386,173,117,40,16,559,543,16,0,0,635,0,0,78,50,28,5.3,0,0,0,0,0,0,416,533,643,808,148.855,0,0,0,0
1998,486,388,98,71,27,0,486,486,0,0,0,508,0,0,51,45,6,5.4,0,0,0,0,0,0,416,534,653,848,148.817,0,0,0,0
1999,656,437,219,68,33,118,656,537,118,0,1,550,0,0,49,45,4,3.4,0,0,0,0,0,0,423,542,658,911,149.694,0,0,0,0
2000,659,500,159,31,39,89,659,570,8,81,0,653,0,0,54,42,12,1.8,0,0,0,0,0,0,435,559,679,888,151.303,0,0,0,0
2001,707,537,170,16,26,128,707,582,125,0,0,651,852,83.613,30,16,14,1.5,0,0,0,0,0,0,446,594,709,873,152.774,64.0999999999999,0,6.4,0
