,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, 1 total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes2,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5
1990,3297,2847,450,57,6,387,2274,2004,142,0,128,4028,3349,272.117,0,0,0,6.1,0,0,1.87937062937064,4.57456541628545,0,4.57735414266261,2.49693000409332,310,418,524,608,1105.421,67.3,0.219444399291275,7.4,0,0
1991,1950,1589,361,14,0,347,1438,1085,143,148,62,2190,2714,194.283,0,0,0,6.2,0,0,-0.171600171600181,5.12904636920385,0,5.82932692307691,3.18490415335463,318,424,531,630,1109.604,67.025,-1.36406396989651,8.6,-2.66913290325952,0
1992,2310,1683,627,64,10,553,1821,1383,170,136,132,2190,3197,252.532,207,131,76,5.8,0,0,-0.042973785990541,1.41475085821283,0,0.359644141586231,2.84470246734398,324,434,545,644,1112.689,66.4749999999999,-1.35168467268511,9.3,-0.326988623471029,-5108
1993,2425,1874,551,52,83,416,1702,1338,151,204,9,2572,3009,253.633,284,215,69,5.6,0,0,3.56835769561478,2.68745512360242,0,-0.0282912108638314,1.73111299275566,327,435,550,652,1117.618,66.8499999999999,0.76678168391925,9.3,-0.453242835595782,-2520
1994,3197,2441,756,72,410,274,1664,1289,79,259,37,2996,3079,261.788,275,231,44,5.5,0,0,3.42465753424658,1.37848366796523,0,1.48099235921139,0.906316470914635,329,440,551,645,1123.23,66.75,0.774180741426936,8.8,0.161820554126058,-1996
1995,1963,1564,399,45,121,233,1215,919,12,284,0,2153,2340,197.834,285,253,32,5.2,0,0,1.50511739915714,2.6899201891812,0,3.40211935303959,1.17312803592704,335,443,554,655,1129.15,66.575,1.74822305027988,7.3,-0.326547098604445,-1226
1996,2318,1875,443,126,113,204,1243,927,105,211,0,1588,2512,222.065,146,119,27,5.6,0,0,0.929221035982591,2.21646516983303,0,0.647249190938505,0.914937947277835,330,440,559,645,1134.196,66.4416666666666,0.219411461022197,7.2,-0.052560632338018,-1364
1997,2612,2019,593,143,96,354,1664,1266,187,211,0,2943,2924,260.992,180,152,28,5.5,0,0,1.37120470127326,2.10269407678588,0,-0.0803858520900352,1.00538599640934,332,445,561,656,1136.128,66.6083333333333,1.40051513200257,6.5,-0.874103957157389,-3658
1998,2895,2368,527,131,81,315,1856,1312,281,263,0,2741,3417,291.941,246,164,82,3.9,0,0,0.792270531400956,1.25953847568262,5.1353226925746,0.670421024403325,0.862068965517245,339,451,566,662,1137.489,66.9666666666666,1.88442609938087,5.5,2.6173939028341,-3687
1999,3133,2231,902,90,151,661,2094,1286,455,353,0,2812,3061,281.494,175,143,32,3.2,0,0,1.61042944785276,2.00653713455602,-0.761614623000761,2.12218078494051,0.854700854700843,338,454,574,668,1142.448,67.5,1.30264736587872,5.6,3.6915778863839,205
