,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,634,394,240,34,20,186,634,426,188,20,0,572,0,0,0,0,0,1.9,0,0,1.43669250645994,0,0,0,304,377,444,464,0,0,0,0,0
1991,486,298,188,70,18,100,486,324,152,10,0,599,0,0,0,0,0,2.3,0,0,0.876299164458934,0,0,0,312,395,455,499,0,0,0,0,0
1992,799,361,438,118,11,309,799,411,298,51,39,671,0,0,20,18,2,2.8,0,0,0.979797979797993,0,0,0,327,405,469,516,0,0,0,0,0
1993,893,335,558,120,70,368,893,427,434,32,0,839,0,0,47,45,2,3.4,0,0,-0.0700210063018961,0,0,0,338,408,479,507,0,0,0,0,0
1994,632,427,205,92,18,95,632,507,111,14,0,844,0,0,74,67,7,5.3,0,0,0.130130130130129,0,0,0,331,416,495,515,0,0,0,0,0
1995,673,344,329,80,11,238,673,408,249,16,0,660,0,0,47,43,4,5.1,0,0,-0.149955013495948,0,0,0,345,415,504,532,0,0,0,0,0
1996,697,417,280,80,4,196,697,483,200,14,0,702,0,0,43,43,0,5.3,0,0,-1.03123748498198,0,0,0,342,424,513,518,0,0,0,0,0
1997,656,390,266,70,29,167,656,455,196,5,0,718,0,0,71,62,9,5.3,0,0,-3.23722812341931,0,0,0,348,430,523,551,0,0,0,0,0
1998,623,448,175,56,7,112,623,499,120,4,0,599,0,0,75,63,12,5.8,0,0,-2.25823314166231,0,0,0,345,434,531,553,0,0,0,0,0
1999,817,455,362,70,22,270,817,492,250,26,49,499,0,0,27,23,4,3.8,0,0,0.438549577494913,0,0,0,344,442,538,567,0,0,0,0,0
2000,906,594,312,78,0,234,906,566,255,41,44,738,0,0,69,41,28,1.7,0,0,-0.244941427050054,0,0,0,347,445,560,580,0,0,0,0,0
2001,938,636,302,62,4,236,938,563,327,47,1,1040,0,0,62,25,37,1.6,0,0,0.0747304366392715,0,0,0,354,454,561,605,122.27,66.8,0,7.6,0
2002,1550,755,795,110,9,676,1550,752,782,16,0,1145,0,0,57,23,34,2.3,0,0,2.12289310859824,0,0,0,429,463,578,614,123.797,70.2,7.76699029126213,6.6,1187
2003,1435,781,654,170,37,447,1435,871,564,0,0,1048,0,0,27,9,18,2.9,0,0,2.8622166509976,0,0,0,370,483,588,617,125.396,69.7,1.05105105105105,6.3,1218
2004,1151,760,391,216,76,99,1151,918,197,36,0,2127,0,0,6,6,0,5,0,0,2.0412308317254,0,0,0,476,498,611,656,127.048,70.2,2.08023774145617,6.1,1287
2005,1191,612,579,276,85,218,1191,942,247,2,0,980,0,0,37,17,20,4.7,6.3,0,4.02070063694266,0,0,0,393,513,612,665,128.244,70,0.727802037845706,6.4,781
2006,1416,593,823,396,77,350,1416,1002,402,12,0,1174,1437,138.089,104,96,8,5.6,6.2,0,3.33907386146192,0,0,0,426,540,636,673,129.707,68.9,-0.144508670520243,6.1,1075
