,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Teranet - National Bank House Price Index (% change)7,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,21101,10316,10785,800,446,9539,21101,11499,6400,2719,483,23756,20736,1591.364,0,0,0,5.4,0,0,0,2.7258064516129,0,4.29090108922874,5.38002651347767,3.38966002816335,355,419,463,541,3269.617,0,0,0,0
1991,17882,8689,9193,1557,1651,5985,17882,10806,3409,3615,52,17329,18251,1466.301,0,0,0,7.2,0,0,0,0.643743130789754,0.504347826086948,7.36364595421456,6.54156620190796,3.32717190388169,359,431,476,561,3290.792,0,0,0,0
1992,14520,6516,8004,1342,2137,4525,14520,8762,2429,3054,275,16436,15248,1243.709,3933,1787,2146,7.7,0,0,0,0.0936037441497764,-1.93805156601487,1.92591136877273,2.10567745744366,2.26908953959138,347,428,488,583,3309.652,0,0,0,0
1993,13729,5913,7816,1766,2267,3783,13729,8559,1660,3461,49,13876,14403,1188.164,3573,1710,1863,7.7,0,0,0,0.76371571072319,0.84700899947061,1.43642147883927,1.43586778452347,1.5650893021543,351,428,484,576,3334.539,0,0,0,0
1994,13157,6138,7019,1663,1598,3758,13157,8489,946,3560,162,14645,13520,1140.033,3290,1519,1771,6.8,0,0,0,0.556844547563805,-1.57480314960629,-1.47310397262876,-0.389511685350562,1.09680928208846,349,425,484,583,3357.451,0,0,0,0
1995,7468,3819,3649,781,759,2109,7468,5194,765,1508,1,8274,7739,665.18,2714,1208,1506,6.2,0,0,0,0.799876942008915,-1.12000000000001,1.79415452879328,2.48927038626609,1.12077467945844,350,433,494,599,3377.019,0,0,0,0
1996,7556,3781,3775,894,743,2138,7556,5282,749,1525,0,7123,8363,712.169,1875,891,984,5.7,0,0,0,-0.167862047916986,0.359582883854736,1.64882024068985,0.614182021217194,0.913282496896613,356,435,491,583,3407.287,0,0,0,0
1997,10508,5203,5305,1136,1028,3141,10508,6978,1066,2464,0,10097,11357,1000.296,1516,749,767,5.9,0,0,0,-0.0458575359217314,1.37943389466141,1.37969609396848,-0.619681834998138,0.667779632721194,359,431,491,592,3423.596,0,0,0,0
1998,10293,5657,4636,862,826,2948,10293,6712,816,2765,0,9862,11715,1072.979,1394,718,676,4.7,0,0,0,0.458785747056115,3.21611592154089,1.56321839080459,0.800372266170298,0.689534782229217,365,438,499,596,3440.057,0,0,0,0
1999,12366,6522,5844,732,829,4283,12366,7439,1708,3219,0,11276,12900,1269.433,1391,808,583,3,0,0,0,2.07033033947327,4.33145009416195,1.58442734268899,1.56956883020958,0.710818307905675,372,452,506,613,3466.707,0,0,0,0
2000,12766,6800,5966,593,754,4619,12766,7551,1676,3539,0,11497,13077,1364.572,1307,723,584,1.5,0,0,0,3.71364653243848,4.92287495897603,2.37076648841356,3.13607853831469,0.688586675847827,380,458,509,630,3500.249,0,0,0,0
2001,13300,7151,6149,631,681,4837,13300,7868,1669,3763,0,13626,14804,1609.088,1420,728,692,0.6,0,0,0,5.00431406384814,6.17766656240226,2.41163155145394,3.66649039309007,1.1198495469311,404,476,529,650,3532.719,65.7,0,8.3,0
