,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, 1 total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes2,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5
1990,2683,2137,546,99,101,346,1730,1389,312,27,2,2959,3265,212.872,0,0,0,3.2,0,0,1.43669250645994,4.59935719827108,0,5.46078431372548,2.60973902609738,311,362,432,471,740.156,60.0166666666666,1.15097411711862,12.1,0,0
1991,2872,2154,718,129,61,528,1623,1137,476,10,0,2858,2812,170.718,0,0,0,3.7,0,0,0.876299164458934,6.51621106166561,0,5.21520870131077,3.21574741765737,325,380,451,476,745.567,58.7583333333333,-1.69016429840141,12.7,-0.728950305743241,0
1992,3310,2391,919,172,59,688,2111,1419,597,51,44,3051,3414,205.229,97,88,9,4.7,0,0,0.979797979797993,0.616731323982889,0,0.353419332037472,2.15256797583082,331,388,461,489,748.121,58.8833333333333,0.575897016063006,13,3.5188074261252,-228
1993,3693,2535,1158,199,108,851,2076,1427,599,50,0,3631,3370,207.513,117,112,5,5.3,0,0,-0.0700210063018961,1.28521997034108,0,-1.17098080648001,1.46025878003696,340,392,470,499,748.812,58.9583333333333,0.999242147809256,12.6,1.63541300913631,-1696
1994,3203,2547,656,166,73,417,1816,1453,325,38,0,3696,2882,198.656,128,111,17,6.8,0,0,0.130130130130129,0.556368960468525,0,-1.3630289532294,1.30260521042083,343,396,479,507,750.185,58.4,-0.419642609009807,12.5,0.0122009874616222,-570
1995,2300,1722,578,127,51,400,1424,1045,362,16,1,2465,2491,164.078,75,66,9,6.7,0,0,-0.149955013495948,1.55309648611919,0,2.77276011560694,1.30383958277134,343,395,484,521,750.943,59.125,2.98057602143334,11.4,0.193043239105643,-927
1996,2722,2173,549,138,92,319,1611,1279,318,14,0,2591,2840,186.664,116,99,17,6.7,0,0,-1.03123748498198,1.48155228445804,0,-0.360312857017314,0.976389135451791,352,407,490,525,752.268,58.65,-0.547425474254743,11.6,-0.620018410216633,-29
1997,2702,2125,577,106,132,339,1627,1248,373,5,1,3084,2793,190.873,132,109,23,6.6,0,0,-3.23722812341931,1.88377131016293,0,-0.4057152937026,0.861462728551347,354,409,499,544,752.511,59.8833333333333,1.38427162243174,12.6,0.216528835039181,-832
1998,2447,1989,458,106,89,263,1615,1338,264,12,1,2371,2700,189.63,148,114,34,6.1,0,0,-2.25823314166231,0.545437736895628,-1.75195697321475,-0.283386468296137,0.705943873104407,351,414,503,543,750.53,60.625,1.97011234747082,12.2,3.47520473014132,-2885
1999,2776,2201,575,134,94,347,1853,1380,360,58,55,2366,3031,218.473,51,46,5,4.3,0,0,0.438549577494913,1.62743655755793,3.26287262872628,0.88809946714033,0.54521852012115,362,420,510,545,750.601,60.8416666666666,3.03381744379135,10.2,4.09591612403659,-553
2000,3079,2442,637,113,26,498,1983,1335,537,41,70,2701,2632,211.792,101,68,33,3.1,0,0,-0.244941427050054,3.2570342893332,4.45097627545663,2.65845070422535,0.740230676536411,377,423,515,558,750.517,61.5833333333333,1.79841391660271,10,0.282687879979988,-731
2001,3462,2573,889,114,153,622,2200,1411,669,116,4,3248,2909,231.466,99,55,44,4.1,0,0,0.0747304366392715,1.7261018137212,1.3467336683417,1.97221745841192,1.13636363636363,365,432,530,571,749.819,61.8833333333333,-0.495061945568311,11.1,2.88830407770151,-1060
2002,3862,2769,1093,186,68,839,2647,1640,966,16,25,3179,3702,308.915,112,50,62,4.2,0,0,2.1015574994666,3.36778639104221,-1.15529551765171,0.899764547595021,1.36859001436174,393,443,543,591,749.379,63.2833333333333,3.61905242953831,10.1,1.53586871144123,-801
2003,4489,3139,1350,254,143,953,3004,2015,937,0,52,4075,3930,343.032,64,31,33,4.3,0,0,2.88371121094974,3.38305141238228,1.85101580135438,1.50012501041753,1.21676806400533,388,453,556,592,749.434,63.0666666666666,-0.0682444124887153,10.2,0.175077692539873,-322
2004,3947,2970,977,293,256,428,2642,1966,636,40,0,5213,4059,395.812,34,26,8,5.3,0,0,2.0412308317254,1.42661400822117,1.3642631993696,1.83923146399541,1.07039934129272,411,465,576,634,749.408,63.75,1.87068608082729,9.8,2.31032457804851,-179
2005,3959,2665,1294,391,203,700,2669,1927,611,131,0,3796,4062,392.481,46,20,26,5,6.4,0,4.02070063694266,2.42371265098537,-3.07079345026967,2.70095944529549,0.887983706720975,402,476,586,663,748.044,63.2416666666666,-0.459682053246494,9.69999999999999,0.161461869397086,-1501
2006,4085,2445,1640,482,275,883,2872,2037,648,185,2,3661,4089,402.753,184,165,19,6,6.7,0,3.33907386146192,1.67584762200326,5.30352398616472,2.8732925105982,0.855943152454772,411,496,609,690,745.609,63.275,1.14970175101018,8.69999999999999,4.11783637324394,-2802
2007,4242,2733,1509,530,195,784,3000,2278,597,125,0,4118,4182,469.738,192,153,39,5.3,6.1,0,0.907323395981852,1.87714612743227,7.46417860713094,2.20543345543345,0.696557245796645,436,510,619,705,745.407,63.5916666666666,2.04261187996386,7.5,4.51267491381059,-829
2008,4274,2519,1755,584,235,936,3140,2349,686,105,0,4013,4375,487.994,292,208,84,3.6,4,0,2.504816955684,1.70024717249644,4.81506090808416,2.83730306876727,1.08133895205533,439,525,635,737,746.855,64.5999999999999,0.864539883019124,8.5,5.32082868265592,946
2009,3521,2154,1367,449,220,698,2620,1829,611,180,0,3763,3939,470.407,300,202,98,3.8,4.2,6.4,3.25814536340853,0.33878332596848,1.32702222973544,2.46133739925941,1.16416266813498,455,543,656,761,749.954,64.175,-0.196377414287029,8.69999999999999,3.71480131085383,2313
2010,4101,2068,2033,475,221,1337,2950,1901,889,160,0,3277,3997,461.922,159,117,42,4.5,5.2,6.2,1.52565880721219,2.12125660598942,3.82048715382047,0.340136054421773,1.27517300365446,455,554,668,799,753.044,63.8416666666666,-0.532419731938244,9.19999999999999,3.98301656321535,2313
2011,3452,1823,1629,472,211,946,2459,1625,742,92,0,3507,3527,439.769,142,100,42,4.8,5.3,7.8,0.614754098360656,3.47157334866672,-2.33408323959505,0.28248587570621,1.22840690978886,470,568,687,824,755.53,63.3,-0.709814051990975,9.5,0.381268179120073,2076
2012,3299,1697,1602,426,162,1014,2543,1583,958,2,0,3397,3771,436.855,232,98,134,6.9,7.5,7.7,-0.118805159538355,1.67407613225895,12.3894533338817,0.098591549295781,0.894956389836936,478,586,707,848,756.777,63.1833333333333,-0.672698293643348,10.2,1.99037085161926,333
2013,2843,1376,1467,290,175,1002,2073,1177,869,27,0,3143,3150,374.212,224,81,143,8.9,9.4,6.8,0.280373831775704,0.799344127895072,4.04055191596822,0.731672998452224,0.909569270089446,504,591,715,842,755.842,63.4916666666666,0.398801236519817,10.3,1.56649116294858,-1409
2014,2276,1192,1084,274,70,740,1725,1114,573,27,11,2507,2752,353.193,212,73,139,8,8.6,8.7,-0.101669067186308,1.49789887488137,-3.67960037992049,1.62033803603855,0.834326579261028,515,608,735,876,754.865,63.2083333333333,-0.190382174587508,9.9,1.09446996804861,-1180
2015,1995,1119,876,157,145,574,1379,856,437,27,59,1688,1961,300.578,146,44,102,7.4,7.8,0,-0.127215672970907,0.520868113522551,5.97494613052846,1.1615120274914,0.56885342789598,508,613,744,882,754.309,62.7333333333333,-0.591075002943609,9.8,2.88917405211321,-495
2016,1838,1033,805,130,208,467,1310,851,365,88,6,2568,2322,359.682,120,47,73,6.6,7.4,7.3,0.730298913043476,2.17896764764497,2.31588379225972,2.18764861743325,0.881510321016675,535,632,763,896,756.78,62.3416666666666,-0.0805420002842572,9.5,0,2789
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
state,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick,new brunswick
