,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, 1 total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes2,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5
1990,5560,3639,1921,310,100,1511,3650,2199,1107,12,332,5477,6323,371.874,0,0,0,3.8,0,0,0.284303456531486,5.07392473118278,0,4.72062663185378,3.26771260117916,391,460,539,658,910.451,61.9,0.973990522155001,10.7,0,0
1991,5173,2604,2569,301,46,2222,3681,1590,1691,0,400,4905,5542,304.689,0,0,0,5.1,0,0,-0.238734706057886,6.07611128877519,0,4.45796349855389,2.82562415328043,408,481,565,690,914.969,61.5333333333333,-1.2089884724355,12.1,-1.47887172945889,0
1992,4673,3232,1441,373,93,975,3222,2190,764,0,268,5485,5217,331.422,120,48,72,5.7,0,0,1.13670355967693,0.653200683348402,0,-0.754248615619627,1.93864106907585,409,475,562,687,919.451,59.9666666666666,-3.09558211830639,13.1,2.25367711234696,1217
1993,4282,3126,1156,496,81,579,2988,2306,642,0,40,4545,4938,329.759,134,76,58,6,0,0,2.98728186926945,1.23801916932908,0,-0.461760461760468,1.29246676514033,412,482,571,719,923.925,60.05,-0.637086571480215,14.3,2.12041026992231,1676
1994,4748,3358,1390,518,99,773,3304,2493,671,0,140,4920,5018,358.53,213,146,67,6.7,0,0,2.78575531303848,1.12426035502958,0,-0.251280564414808,1.29420342690483,421,485,579,711,926.871,60.1083333333333,1.67341185030239,13.5,-0.796432370799153,409
1995,4168,3040,1128,417,72,639,2695,2098,570,24,3,4170,4868,348.152,254,179,75,7.6,0,0,2.96172115115953,1.36532085039983,0,2.16064334851275,0.935756703257161,422,488,584,760,928.12,59.4083333333333,0.878840735274395,12.2,0.307610388004365,-432
1996,4059,3278,781,447,59,275,2806,2527,279,0,0,4062,5725,403.973,194,142,52,8.6,0,0,0.719131614654013,1.77987300365595,0,0.483687405159329,0.864681761454808,421,488,588,732,931.327,59.375,0.232759193988162,12.4,-2.48281980987782,1475
1997,3813,2939,874,303,58,513,2732,2225,479,0,28,3756,4997,355.368,255,192,63,8.3,0,0,-2.31712245722755,2.07959164382267,0,-0.339782916470029,0.892620415377819,424,490,589,722,932.402,59.7333333333333,1.45966029723991,12.1,1.38654131471975,695
1998,3137,2257,880,290,89,501,2171,1664,418,89,0,3416,4249,312.118,175,139,36,5.9,0,0,0.758516066749422,0.620427817390492,-0.0803557079337823,0.823941661142147,0.534337771548695,433,496,603,763,931.836,60.525,3.57485395413724,10.5,3.81787910926813,-547
1999,4250,3345,905,218,29,658,2834,2263,571,0,0,4237,5208,405.244,103,96,7,4.2,0,0,3.24390911579524,1.71176145775815,-0.343126742440485,2.18861544241968,0.479219308181575,448,507,609,761,933.784,60.7666666666666,1.95302634901926,9.6,4.39167036596305,1991
2000,4432,2856,1576,266,17,1293,3050,1867,810,371,2,3986,4705,429.301,109,101,8,4.2,0,0,3.24804454461087,3.49258052841114,6.32128254788034,4.41217023623494,0.901838362816518,468,522,621,773,933.821,61.2333333333333,1.9734126001156,9.1,-0.631797670472084,126
2001,4092,2761,1331,228,40,1063,2767,1765,746,256,0,3618,4099,399.848,104,59,45,3.3,0,0,2.79917822290705,1.85347088651861,2.317461923797,3.75913372656044,1.51254726710209,486,537,645,835,932.491,62.025,0.914979757085016,9.69999999999999,2.80251307547074,-946
