,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,2189,1230,959,88,396,475,2189,1485,546,158,0,3028,1984,235.3,0,0,0,1.8,0,0,0,0,0,0,487,533,604,690,243.379,0,0,0,0
1991,2596,1385,1211,99,435,677,2596,1628,716,162,90,2545,2704,270.678,0,0,0,3.4,0,0,0,0,0,0,490,562,641,728,248.328,0,0,0,0
1992,2188,910,1278,112,524,642,2188,1246,392,0,550,2911,1807,161.71,88,15,73,6.1,0,0,0,0,0,0,513,564,651,752,255.403,0,0,0,0
1993,1409,1020,389,34,260,95,1409,1202,83,28,96,1665,1618,169.133,85,52,33,4.6,0,0,0,0,0,0,480,570,659,752,261.28,0,0,0,0
1994,1963,1485,478,64,316,98,1963,1821,106,36,0,1986,2344,254.393,126,82,44,3.4,0,0,0,0,0,0,468,584,659,745,267.142,0,0,0,0
1995,1330,1035,295,24,232,39,1330,1291,39,0,0,1389,1165,112.572,116,82,34,2.7,0,0,0,0,0,0,508,605,689,779,272.557,0,0,0,0
1996,1563,1216,347,64,283,0,1563,1429,0,134,0,1350,1611,159.642,92,76,16,3.7,0,0,0,0,0,0,521,617,700,798,278.175,0,0,0,0
1997,2064,1736,328,62,214,52,2064,1957,0,107,0,1991,2129,229.584,59,42,17,2.4,0,0,0,0,0,0,515,604,691,788,284.834,0,0,0,0
1998,1759,1400,359,8,347,4,1759,1706,4,49,0,1764,1834,210.096,99,36,63,2,0,0,0,0,0,0,518,641,726,828,291.387,0,0,0,0
1999,2463,2150,313,6,307,0,2463,2339,38,86,0,2248,2517,325.953,95,68,27,1.7,0,0,0,0,0,0,536,647,745,846,297.328,0,0,0,0
2000,2874,2152,722,86,508,128,2874,2647,128,99,0,2475,3325,391.005,80,63,17,1.7,0,0,0,0,0,0,522,684,778,879,304.414,0,0,0,0
2001,2561,2038,523,70,453,0,2561,2539,22,0,0,2560,2964,390.42,51,34,17,1.3,0,0,0,0,0,0,542,692,799,903,308.599,68.8,0,5.6,0
2002,3490,2955,535,94,351,90,3490,3344,16,130,0,3315,3342,462.856,59,41,18,2.3,0,0,0,0,0,0,579,713,819,925,315.101,69.5999999999999,2.59403372243839,6.8,4632
2003,3907,3074,833,172,549,112,3907,3795,40,72,0,3459,3940,669.578,51,18,33,2.9,0,0,0,0,0,0,581,752,845,944,322.777,72.9,9.86093552465235,5.1,5871
2004,3153,2356,797,68,519,210,3153,2915,0,238,0,3647,2815,487.637,26,17,9,3.4,4.4,0,0,0,0,0,611,750,852,973,330.304,70.5999999999999,-0.632911392405076,5.4,5591
2005,2934,2301,633,10,305,318,2934,2557,41,336,0,2623,3019,583.214,49,25,24,3.3,4.8,0,0,0,0,0,611,753,855,980,337.398,70.8,1.91082802547771,6.5,4939
2006,2995,2109,886,18,382,486,2995,2385,1,609,0,2583,2924,547.888,69,52,17,4.1,6.3,0,0,0,0,0,616,756,861,995,344.262,68.9,-0.170454545454551,6.6,4781
2007,2389,1747,642,14,351,277,2389,1945,146,298,0,2598,2235,487.694,165,47,118,3.7,5.5,0,0,0,0,0,614,770,877,993,348.28,68.5,1.47979510529312,6.2,3142
2008,1987,1500,487,4,432,51,1987,1759,27,201,0,2339,2059,441.375,158,31,127,4.2,5.7,0,0,0,0,0,641,785,889,1008,352.63,69.0999999999999,1.68255748738081,7.1,3328
2009,980,836,144,4,98,42,980,898,45,37,0,1563,1104,317.505,89,8,81,4.2,6.1,15.9,0,0,0,0,637,785,900,1035,357.061,67.0999999999999,-3.41974627688914,9.1,3486
2010,1888,1540,348,16,320,12,1888,1787,12,89,0,1560,1949,504.712,31,11,20,3,4.6,17.2,0,0,0,0,659,804,903,1032,362.255,69.9,5.25414049114792,9.9,4092
2011,1859,1384,475,40,361,74,1859,1623,54,182,0,1838,2160,602.671,25,11,14,1.8,3.2,16.9,0,0,0,0,669,819,941,1075,367.266,69.0999999999999,2.55018990775908,8.19999999999999,3666
2012,1803,1155,648,50,296,302,1803,1314,150,339,0,1759,1692,493.704,17,6,11,2.1,3.4,17.8,0,0,0,0,684,839,939,1053,373.817,68.4,0.529100529100529,8.69999999999999,4720
2013,1384,887,497,66,168,263,1384,1067,296,21,0,1680,1736,461.265,5,4,1,2.1,3,14.7,0,0,0,0,713,874,985,1126,378.981,67.8,2.36842105263157,7.5,3521
2014,1671,1141,530,32,388,110,1671,1450,111,110,0,1511,1829,562.784,28,28,0,1.8,2.9,12.6,0,0,0,0,724,885,1010,1153,383.831,68.5999999999999,3.54755784061697,7.1,3247
2015,2587,1418,1169,20,412,737,2587,1727,605,255,0,1362,2729,808.735,28,28,0,1.7,2.4,4.3,0,0,0,0,794,905,1035,1174,388.563,66.0999999999999,-2.48262164846077,7.5,3167
2016,2491,945,1546,56,719,771,2491,1455,255,781,0,1903,2430,753.32,29,28,1,1.7,2.5,11.3,0,0,0,0,777,979,1109,1198,393.977,69.5999999999999,8.96130346232178,5.9,3897
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
state,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa,oshawa
