,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 9,Vacancy Rate of Rented Condominium Apartments ,"New Housing Price Index (% change)4,8","Teranet - National Bank House Price Index (% change)7,8","Consumer Price Index (% change)4,8","Owned accommodation costs (% change)4,8","Rental accommodation costs (% change)4,8",  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,4860,2414,2446,105,1118,1223,4860,3143,1112,603,2,5511,5216,483.839,0,0,0,0.5,0,0,0,3.95577012926335,0,4.76353276353277,8.04537338514861,4.0993931066071,407,509,640,761,724.732,0,0,0,0
1991,4475,1811,2664,71,991,1602,4475,2444,1941,90,0,4179,4678,437.342,0,0,0,0.8,0,0,0,-0.389513108614229,0,5.68911128032198,5.55069505200739,4.1359586404136,435,543,672,818,739.049,0,0,0,0
1992,5830,2463,3367,84,1568,1715,5830,3706,1616,452,56,6336,5769,553.191,602,169,433,1.3,0,0,0,0.075199278086922,0,1.3894606834088,0.644685945846375,3.98225414598077,457,572,700,839,751.97,0,0,0,0
1993,4421,1858,2563,92,1776,695,4421,3528,715,82,96,4664,4052,376.493,648,268,380,1.8,0,0,0,-0.571085061617069,0,2.20282204852299,-0.329428989751095,3.33197887037789,465,591,727,881,765.76,0,0,0,0
1994,3929,1732,2197,149,1808,240,3929,3493,151,134,151,4655,3973,394.041,706,214,492,2.6,0,0,0,0.226723095525992,0,0.516487882399678,-0.312155710613292,2.31026346834446,484,600,738,894,774.26,0,0,0,0
1995,2190,807,1383,41,851,491,2190,1553,299,120,218,2316,2205,205.726,599,164,435,3.8,0,0,0,-1.77952043432361,0,2.83596837944665,0.994658316448692,1.77764965888344,489,604,738,885,781.273,0,0,0,0
1996,3066,1439,1627,151,1278,198,3066,2835,75,156,0,2644,3609,318.934,460,143,317,4.9,0,0,0,-1.55074466451713,0,1.57586240030747,-1.03957687397409,1.29342900302114,484,601,739,892,773.905,0,0,0,0
1997,3485,2053,1432,120,1185,127,3485,3311,42,132,0,3512,3687,385.747,435,143,292,4.2,0,0,0,0.686213349968795,0,1.70277173398921,-1.42830814596388,0.829527448970089,483,603,729,888,780.088,0,0,0,0
1998,3615,2248,1367,114,1135,118,3615,3506,101,8,0,3460,3873,434.181,425,185,240,2.1,0,0,0,0.697026022304838,0,0.892940191610083,-0.345891371412549,1.29413939730078,493,615,754,928,789.428,0,0,0,0
1999,4447,2837,1610,253,1187,170,4447,4279,12,138,18,4144,4697,553.445,312,153,159,0.7,0,0,0,2.63036455929858,1.06877323420073,1.92680003687655,1.33208255159475,1.36886293119182,513,637,783,950,802.25,0,0,0,0
