,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, 1 total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes2,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5
1990,762,483,279,16,0,263,560,280,280,0,0,683,1124,62.855,0,0,0,3.1,0,0,0,5.02400357262476,0,5.220180810732,1.96078431372549,318,387,479,524,130.404,65.5999999999999,0.15153811183513,14.4,0,0
1991,553,376,177,19,12,146,356,221,115,0,20,722,821,49.045,0,0,0,4.6,0,0,0,7.56883172105878,0,4.4530672579453,1.75339366515836,323,390,498,533,130.369,65.0166666666666,-2.9505220154335,16.5,-2.71723798737853,0
1992,644,421,223,53,6,164,399,230,169,0,0,595,911,55.559,9,9,0,6.2,0,0,0,0.741179958493919,0,0.583760834954888,1.40818973503798,329,409,503,560,130.827,65.5666666666666,0.545681322107884,17.6,3.93567948092434,-145
1993,645,460,185,25,35,125,437,274,162,0,1,674,914,57.481,11,11,0,5.1,0,0,0,1.96193839513439,0,-0.597959901512482,1.16937694134843,335,410,511,569,132.177,65.2083333333333,1.62815940455884,16.9,3.74238727803061,748
1994,669,454,215,47,59,109,455,272,159,24,0,742,794,50.128,30,28,2,6.8,0,0,0,-0.250144314027334,0,-0.592710544939848,1.19198121726566,329,408,517,556,133.437,65.3916666666666,2.02929508696979,16.5,-0.741358611216789,751
1995,422,364,58,20,18,20,245,194,51,0,0,467,644,39.772,17,17,0,7.6,0,0,0,1.5721450617284,0,2.24259143899616,1.13332143494556,346,418,523,559,134.415,65.0333333333333,2.58710931658442,14.8,1.74275633486579,527
1996,554,430,124,10,68,46,372,304,68,0,0,525,678,46.577,8,8,0,4.9,0,0,-0.281237444756926,1.84218022979773,0,0.00870397771782397,1.19121150622077,347,421,522,564,135.737,66.0166666666666,2.91545189504371,14.6,0.328407224958952,854
1997,470,374,96,12,43,41,287,225,62,0,0,548,717,50.502,14,14,0,4.9,0,0,-0.120870265914585,1.27738927738927,0,-1.48825065274151,0.898151377746774,358,426,527,589,136.095,65.8583333333333,-0.410764872521235,15.3,0.297275965562728,230
1998,524,387,137,28,10,99,292,187,105,0,0,400,707,48.181,9,9,0,7,0,0,-0.907624041952407,-0.460320382986557,2.1077441077441,-1.57257708278116,0.501253132832081,353,429,529,591,135.804,65.5666666666666,1.64983643862893,13.9,1.89174986862848,-392
1999,616,472,144,32,31,81,399,282,116,0,1,626,767,59.588,5,5,0,5.4,0,0,1.68939548137594,1.20236773954864,2.11699531754929,1.54384705143165,0.343967667039293,348,428,531,634,136.281,66.225,1.3012452777389,14.3,4.12658011806129,342
2000,710,614,96,46,21,29,389,326,62,0,1,668,513,48.199,5,5,0,3.3,0,0,1.78142514011209,4.12173277280205,3.78455179540171,2.98771325024307,0.394206872911138,364,432,538,641,136.47,66.775,4.0745856353591,12,1.69360785366467,139
2001,675,551,124,56,10,58,375,327,48,0,0,589,650,57.876,1,1,0,2.7,0,0,1.21927236971484,2.58930922496269,1.44368388301181,2.3431465110291,1.12676056338027,359,444,561,602,136.665,67.1083333333333,1.53948241539482,11.9,1.32118316826215,281
2002,775,582,193,64,47,82,518,351,166,0,1,783,1015,86.481,6,6,0,2.8,0,0,0.650864581309506,2.66084873374401,3.61305361305362,0.628983562562884,1.29990714948933,376,460,566,626,136.876,67.5916666666666,1.47693112011502,11.9,5.46654652934413,102
2003,814,613,201,72,40,89,553,424,129,0,0,902,840,81.265,20,19,1,3.7,0,0,1.06167358363092,3.53362780231685,4.45207506956367,1.87515626302193,1.44154653778851,402,465,585,668,137.221,67.7416666666666,2.11231324059762,10.9,-1.70808491116406,186
2004,919,682,237,76,80,81,603,478,125,0,0,887,1095,126.362,9,9,0,4.2,0,0,3.57176964950816,2.20558641229976,7.37402936008615,2.02061518324606,0.739280433711187,393,484,603,675,137.681,67.8916666666666,0.769424823410706,11.2,0.318004086233618,281
2005,862,634,228,111,75,42,554,472,79,3,0,875,1070,115.602,2,2,0,4.4,6.9,0,4.19548178884277,3.15035047649052,-4.70861486486486,2.91877154999598,0.603392041748199,411,484,612,721,138.064,68.15,1.66478908499186,10.9,0.602428586106616,137
2006,738,512,226,62,13,151,523,376,123,24,0,721,911,113.457,3,3,0,5.3,7,0,2.2212389380531,2.23715354661371,3.28495457567028,1.87767822360733,2.39098719403469,424,501,631,707,137.865,68.3,0.492489534597382,11.1,4.18861289244624,-310
2007,750,573,177,100,23,54,484,431,41,12,0,788,771,102.987,7,1,6,4.1,5.6,0,1.28127434854124,1.83719193427933,4.90748189863234,2.69960232486998,1.13195598828464,437,519,648,728,137.721,67.8166666666666,0.600343053173239,10.2,3.32700810611643,4
2008,712,521,191,59,54,78,495,391,91,13,0,762,723,104.477,5,1,4,2.6,4,0,1.35909052055731,3.36608976239365,1.5644171779141,2.25631096879887,0.399185973700686,431,531,660,759,138.764,68.2416666666666,0.803799780781873,10.9,3.52360636356627,1195
2009,877,430,447,56,68,323,693,373,255,65,0,575,731,97.855,21,4,17,3.1,4.3,9.3,0.893911283521675,-0.0993260021284034,6.52874257525421,0.356830760267985,2.25305995166445,447,554,688,771,139.909,67.5166666666666,-1.268575570859,11.9,5.80061433762943,1380
