,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Teranet - National Bank House Price Index (% change)7,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,5972,3025,2947,346,118,2483,5972,3438,2210,324,0,6834,6207,396.641,0,0,0,5.7,0,0,0,3.29913180741909,0,4.27388183324128,7.43191927959205,2.8795541335535,357,418,470,531,651.122,0,0,0,0
1991,6523,3108,3415,610,336,2469,6523,3948,1898,676,1,5720,7276,479.082,0,0,0,5.6,0,0,0,2.82701711491444,-0.590017541062026,7.48782037703877,7.28135730155525,2.87921348314606,382,441,490,555,660.73,0,0,0,0
1992,6300,2167,4133,592,272,3269,6300,3016,1810,1398,76,7293,6408,402.278,952,385,567,6.3,0,0,0,0.802496656263923,1.5880654475457,1.76372056360232,1.8262261131507,2.62311067771819,349,439,501,580,667.08,0,0,0,0
1993,4699,1748,2951,558,326,2067,4699,2656,606,1437,0,5106,5304,336.254,960,313,647,6,0,0,0,-0.294854784018877,-0.757934628138323,1.3264910921766,0.526948322085599,2.08095781071836,348,439,502,578,674.636999999999,0,0,0,0
1994,4677,1842,2835,538,243,2054,4677,2607,839,1231,0,4660,4761,317.225,910,292,618,6.9,0,0,0,-0.532308147271921,-0.381861575178998,-0.840898232202576,-1.20470847894057,1.60104253932792,342,436,501,574,679.25,0,0,0,0
1995,2405,1077,1328,230,74,1024,2405,1373,521,511,0,2678,2256,149.741,697,216,481,6,0,0,0,0.698676973390815,-1.24580737901294,2.09116314927243,2.66219864097551,1.29180027485111,350,438,513,585,680.716,0,0,0,0
1996,2208,1006,1202,224,45,933,2208,1279,662,267,0,2322,2289,162.01,494,170,324,6.5,0,0,0,-1.34337171538235,-0.663108523370525,1.70851425335095,1.12430864085592,1.31150506512302,346,438,511,579,687.726,0,0,0,0
1997,2233,1247,986,268,40,678,2233,1555,515,163,0,2524,2472,187.028,290,169,121,6.6,0,0,0,-0.418973514888516,2.11657440573103,1.36426914153132,-0.75316058459606,1.07133291670386,346,440,513,590,689.763,0,0,0,0
1998,1845,1108,737,166,49,522,1845,1323,290,232,0,1838,2231,170.977,271,155,116,5.2,0,0,0,0.570999248685196,-1.08418367346938,1.48324482695476,0.686602222422974,1.04231074993375,350,445,513,595,691.482,0,0,0,0
1999,1814,1165,649,164,53,432,1814,1382,281,151,0,1771,2230,185.931,269,98,171,3.3,0,0,0,1.71821305841925,4.31979368149579,1.53374233128834,1.28308658591296,0.681877786519806,364,450,511,597,693.953,0,0,0,0
2000,2275,1262,1013,62,74,877,2275,1391,748,112,24,2032,2327,187.394,152,72,80,1.6,0,0,0,2.12984723854289,1.01977750309023,2.19477519104319,2.44507441530828,0.781453503516525,368,459,518,599,697.027,0,0,0,0
2001,2555,1581,974,113,45,816,2555,1805,433,309,8,2471,2790,276.346,109,83,26,0.8,0,0,0,2.48813461815043,7.12756194554911,2.24328319276584,2.46454514008993,1.54217282674249,380,473,538,632,703.96,64.7,0,7.9,0
2002,4282,2327,1955,172,48,1735,4282,2662,1117,503,0,3748,4681,436.989,84,62,22,0.3,0,0,0,4.3222003929273,10.9937178754997,2.04949400459222,1.29968773736181,1.80722891566264,388,489,550,653,708.734,67.2,6.37054354178843,6.4,4037
2003,5599,2674,2925,228,115,2582,5599,3167,1350,1070,12,5517,5830,572.084,153,84,69,0.5,0,0,0,9.16061339790154,10.2521224594803,2.55,4.31558776972423,1.85015417951496,405,506,567,671,712.571,66.9,-0.192307692307689,6.9,3261
2004,6186,2704,3482,302,111,3069,6186,3311,1675,1200,0,5259,6064,651.548,229,55,174,1.1,1.5,0,0,6.07516943930992,9.60214677400537,1.94214204453111,2.90711604504432,1.12102119302839,419,523,596,706,718.11,66,0.88081475364712,5.8,4877
2005,5835,2528,3307,410,124,2773,5835,3284,1372,1131,48,6149,6192,703.531,344,91,253,1.4,1.6,0,0,4.32156133828995,7.25995316159251,2.23196492626545,2.66977105161039,1.456546366726,434,536,621,724,721.871,67.9,3.84720327421555,5.5,2675
2006,5176,2226,2950,320,135,2495,5176,2937,1099,1038,102,5922,4864,566.771,422,105,317,1.5,1.8,0,0,5.25612472160356,6.21278285033741,1.66861598440546,2.40380981177716,1.32397511564842,452,558,637,749,728.221,66.4,-0.735680504466634,5.3,3802
2007,5284,2144,3140,300,194,2646,5284,2850,1567,740,127,4442,6114,726.761,293,64,229,1.2,1.7,0,2.4,3.90393567498942,9.7738740422351,1.31911956438376,2.605742968923,1.17285894206549,455,547,641,755,736.993,67.4,3.3086289041821,5.1,4462
2008,5457,2031,3426,496,183,2747,5457,2853,1353,1160,91,5486,5877,738.893,347,115,232,0.6,1.2,0,1.3,5.29477649933815,12.8787878787878,2.06645976837482,4.64748201438849,1.4393526803081,452,558,653,770,746.711,67.3,2.25467589034076,4.4,5084
2009,5513,1746,3767,612,182,2973,5513,2658,1347,1315,193,5120,6595,878.667,469,143,326,0.6,1,7.1,1.6,6.98191664249104,8.25729582987706,0.771284485315943,3.04551079334524,1.74873446847675,472,582,676,795,756.499,66.7,0.0250563768478992,5,4798
2010,6652,1768,4884,818,267,3799,6652,3014,1798,1727,113,6419,7324,996.65,582,208,374,1,1.2,8.1,1.7,3.22697279219018,7.93396489272777,1.36885487194582,0.587097204616719,1.8543645409317,492,600,692,824,766.563,68.5,4.13326653306613,5.1,4939
2011,5445,1349,4096,824,258,3014,5445,2594,784,1986,81,5667,5950,907.442,774,270,504,1.6,1.8,6.2,2.3,1.42732049036777,7.24749919328817,3.0056628430376,0.815812164223656,1.79840142095915,523,609,718,850,776.821,69.2,2.28530190040894,5.3,5189
2012,6416,1258,5158,522,306,4330,6416,2176,1511,2581,148,5518,6958,966.052,1351,195,1156,2,2.3,5.2,2.2,2.91806958473625,4.17017691659646,2.20608965322809,2.25657894736842,1.98473282442748,510,618,741,873,783.957,68.9,0.917215428033874,5,4348
2013,4680,961,3719,526,124,3069,4680,1607,1551,1475,47,5465,4910,751.85,960,235,725,2.3,2.9,6.3,5.9,1.07373542488047,1.46149846918142,0.86200951658505,0.842823135816767,1.42571998859423,513,634,757,886,790.464,68,-0.139827546026572,4.7,3793
2014,4449,887,3562,618,101,2843,4449,1632,1560,1174,83,4451,5357,809.183,939,265,674,3.1,3.7,5.7,3.2,0.157689434807861,-0.819858802095196,1.34691645015726,1.16115860660966,1.20888389091931,534,648,775,898,796.529,68.8,1.21353558926487,5.3,3394
2015,5442,826,4616,368,93,4155,5442,1326,3106,1010,0,4354,5472,767.378,808,234,574,4,4.6,4.9,4,-0.232018561484915,0.183696900114815,0.978209539229584,0.334258324924316,1.43749999999999,546,666,788,930,801.292,69.3,1.98293751441088,4.7,2392
2016,4766,873,3893,422,244,3227,4766,1535,2792,439,0,4915,6757,907.011,546,198,348,4.9,5.5,4.4,4.8,-0.348837209302331,-0.699060279624108,0.628006413682524,0.678861022062987,1.15013349763812,555,684,808,955,807.211,68,-0.859145376441331,4.6,3451
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
state,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma,qubec cma
