,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, 1 total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes2,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5
1990,48070,24942,23128,2733,890,19505,40249,22721,13580,3450,498,52630,45249,3124.882,0,0,0,5.7,0,0,2.81305256389649,4.28007023705004,0,5.75016523463317,3.2364399160923,344,405,447,509,6996.986,64.2333333333333,0.369425326543225,10.4,0,0
1991,44654,22531,22123,4777,2563,14783,37094,22960,9136,4863,135,42720,43896,3106.644,0,0,0,7.1,0,0,1.03189493433394,7.32477373184593,0,6.67708333333333,3.18335752298017,351,417,461,528,7067.396,63.6333333333333,-1.77982406092851,12.1,-1.51040383393705,0
1992,38228,18564,19664,3823,3184,12657,31133,18443,7349,4933,408,42323,37409,2665.038,5572,2681,2891,7.5,0,0,0.232126276694537,1.87291625808982,0,1.96269895518015,2.3349587396849,339,416,473,546,7110.01,62.55,-1.48624259715558,12.7,0.982683737228251,14190
1993,34015,17136,16879,3909,3346,9624,27876,17512,4630,5672,62,34859,35123,2557.246,5209,2486,2723,7.3,0,0,0.602130616025933,1.34757917027624,0,1.13005171423099,1.64940896178869,341,416,471,546,7156.537,62.2833333333333,-0.250392867231452,13.2,1.89257362400047,23461
1994,34154,18414,15740,4172,2364,9204,27198,17652,3993,5391,162,36345,33273,2492.627,4893,2317,2576,6.9,0,0,0.322283609576432,-1.35815367081393,0,-0.539772727272737,1.1628955196971,340,414,472,550,7192.403,62.4583333333333,2.10550047564844,12.3,0.818355146258645,16178
1995,21885,13428,8457,2264,1046,5147,15638,10826,2639,2171,2,23363,20062,1513.591,3941,1784,2157,6.3,0,0,0.780174391922875,1.8005006739842,0,2.3993144815767,1.08715024059882,341,420,481,561,7219.219,62.2,1.31054576004653,11.5,0.436474605297134,9964
1996,23220,14818,8402,2384,1094,4924,15909,11233,2747,1929,0,22194,21139,1603.217,2776,1369,1407,6,0,0,-0.425015179113533,1.61732715407169,0,0.697350069735007,0.91678420310297,347,422,479,552,7246.897,61.9083333333333,-0.0842549549621307,11.8,0.559382808879806,11137
1997,25896,16073,9823,2767,1433,5623,19634,13934,2879,2821,0,26308,25333,2023.337,2223,1256,967,6.3,0,0,-0.0914634146341362,1.39612807148175,0,-0.544783010156979,0.681341719077559,349,420,479,559,7274.611,62.075,1.33511739137373,11.4,0.785166791310038,-1039
1998,23138,14685,8453,1930,1074,5449,18343,12580,2529,3234,0,22944,24208,2017.181,2092,1178,914,5.3,0,0,0.534025022886768,1.43198090692125,-2.61992272170388,0.826292823321891,0.64202672219331,354,426,486,566,7295.935,62.55,2.62192833010887,10.3,2.12433978940896,-1751
1999,25742,15798,9944,1586,1184,7174,19488,12585,3444,3456,3,24141,25595,2320.286,1966,1119,847,3.8,0,0,1.97298527849446,1.54751131221718,3.42591696506338,1.6390423572744,0.637931034482751,361,436,491,577,7323.25,62.7916666666666,2.11547365378367,9.3,3.49783473991848,7444
2000,24695,15349,9346,1291,858,7197,19930,12512,3697,3697,24,23346,24763,2402.567,1697,969,728,2.2,0,0,3.48266111028428,2.40620265573479,1.6749321605689,3.03497010327958,0.59105704985438,370,442,495,586,7356.951,63.125,2.25200964932276,8.5,3.73709220586071,12720
