,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,1128,571,557,151,30,376,1128,731,362,35,0,1173,1144,67.705,0,0,0,5.1,0,0,0,0,0,0,323,365,390,413,163.165,0,0,0,0
1991,955,378,577,148,0,429,955,537,335,36,47,1010,1032,56.691,0,0,0,5.7,0,0,0,0,0,0,378,389,408,428,164.531,0,0,0,0
1992,737,288,449,123,26,300,737,415,183,96,43,798,778,46.727,59,36,23,7.1,0,0,0,0,0,0,283,351,420,441,164.541,0,0,0,0
1993,668,314,354,140,22,192,668,474,105,89,0,608,740,45.491,41,25,16,6.3,0,0,0,0,0,0,294,358,419,444,165.115,0,0,0,0
1994,606,281,325,150,32,143,606,461,60,85,0,646,788,48.144,66,39,27,6.3,0,0,0,0,0,0,287,362,416,453,164.813,0,0,0,0
1995,311,166,145,102,9,34,311,269,42,0,0,366,374,25.281,47,27,20,6,0,0,0,0,0,0,289,360,417,455,163.926,0,0,0,0
1996,309,237,72,60,0,12,309,300,9,0,0,295,391,25.733,17,12,5,5.4,0,0,0,0,0,0,299,358,423,455,161.582,0,0,0,0
1997,500,335,165,130,4,31,500,457,43,0,0,476,703,46.974,15,11,4,4.1,0,0,0,0,0,0,285,359,425,459,161.188,0,0,0,0
1998,502,331,171,54,0,117,502,388,114,0,0,508,535,40.007,9,9,0,4.8,0,0,0,0,0,0,297,360,428,456,160.902,0,0,0,0
1999,305,243,62,36,0,26,305,279,26,0,0,351,375,27.652,43,8,35,4.9,0,0,0,0,0,0,292,355,428,459,160.061,0,0,0,0
2000,296,203,93,20,0,73,296,223,73,0,0,300,338,25.385,4,4,0,4.4,0,0,0,0,0,0,314,363,438,463,158.641,0,0,0,0
2001,336,228,108,27,0,81,336,262,74,0,0,279,445,32.757,5,2,3,4.4,0,0,0,0,0,0,296,364,439,478,162.351,59.4,0,11.1,0
2002,596,254,342,20,0,322,596,288,308,0,0,391,575,49.93,1,1,0,4.9,0,0,0,0,0,0,302,370,440,477,160.973,59.7,-0.573888091822102,11.5,-1625
2003,435,244,191,22,0,169,435,274,161,0,0,709,435,36.416,5,5,0,5.2,0,0,0,0,0,0,309,374,457,494,159.864,61.1,2.16450216450216,11.4,-1288
2004,347,244,103,32,0,71,347,282,58,7,0,297,507,47.865,0,0,0,5.3,0,0,0,0,0,0,316,377,459,493,158.875,63.7,4.37853107344634,11,-1290
2005,464,267,197,22,6,169,464,315,130,5,14,397,493,52.474,0,0,0,4.5,5,0,0,0,0,0,313,385,472,493,157.778,59.9,-5.14208389715833,9.9,-1333
2006,485,271,214,22,9,183,485,318,146,21,0,489,623,59.386,3,1,2,4.1,4.8,0,0,0,0,0,316,402,485,512,157.264,61.1,3.28102710413696,8.9,-1063
2007,685,373,312,6,9,297,685,430,175,24,56,513,784,94.243,2,1,1,2.8,3.4,0,0,0,0,0,332,405,490,526,157.213,61.3,0.966850828729266,8.9,-771
2008,869,400,469,6,12,451,869,468,378,23,0,705,1029,116.227,11,3,8,1.6,2.2,0,0,0,0,0,352,412,518,553,157.698,60.3,-0.410396716826261,8.4,-365
2009,584,337,247,12,0,235,584,441,119,24,0,570,675,89.667,13,9,4,1.5,2.4,1.6,0,0,0,0,354,425,518,558,158.064,60.9,1.37362637362637,8.69999999999999,-382
2010,783,380,403,46,4,353,783,464,257,28,34,929,933,124.155,27,19,8,1.8,2.1,3.4,0,0,0,0,366,430,535,586,158.651,59.8,-0.542005420054189,8.3,-167
2011,859,475,384,80,12,292,859,613,232,14,0,834,1013,156.018,54,19,35,1.4,1.7,4.6,0,0,0,0,388,446,557,610,159.383,57.6,-1.90735694822889,7.3,3
2012,1117,400,717,218,22,477,1117,674,389,54,0,987,1518,208.797,54,24,30,2,2.4,15.6,0,0,0,0,390,439,549,584,160.233,61.3,6.38888888888888,7.6,572
2013,919,337,582,182,32,368,919,593,292,34,0,933,909,149.075,93,55,38,2.8,3.4,12.7,0,0,0,0,389,455,571,623,160.441,61.5,0.391644908616202,7.7,2
2014,672,268,404,126,6,272,672,432,212,28,0,892,753,121.963,127,62,65,4.2,4.3,8,0,0,0,0,375,468,595,624,160.249,62.4,-0.780234070221077,9.6,-260
2015,505,205,300,104,0,196,505,351,144,10,0,552,516,85.304,113,66,47,7.1,7.2,8.6,0,0,0,0,374,469,598,641,159.996,60.4,-1.57273918741809,7.8,-361
2016,412,190,222,76,16,130,412,278,134,0,0,438,551,83.084,74,49,25,7,7.5,8.3,0,0,0,0,386,469,587,645,159.669,58.8,-2.92942743009319,8.19999999999999,-587
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
state,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay,saguenay
