,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,589,520,69,6,24,39,589,532,55,0,2,513,469,38.16,0,0,0,4.1,0,0,1.43669250645994,4.52888545233624,5.40806293018681,2.76232114467408,293,340,402,427,128.049,0,0,0,0
1991,441,304,137,6,37,94,441,320,121,0,0,495,298,25.966,0,0,0,4.9,0,0,0.876299164458934,6.49899609003487,5.22388059701493,3.50995938889963,304,352,421,440,129.187,0,0,0,0
1992,493,409,84,2,48,34,493,420,69,0,4,466,436,35.212,61,54,7,6,0,0,0.979797979797993,0.764040484223055,0.230496453900711,2.19523587108827,311,359,429,445,129.362,0,0,0,0
1993,471,437,34,8,12,14,471,457,14,0,0,501,356,31.243,62,59,3,6.3,0,0,-0.0700210063018961,1.34908911866076,-1.40633292057315,1.26142595978061,316,369,436,461,129.286,0,0,0,0
1994,442,379,63,8,43,12,442,414,22,6,0,535,347,28.521,44,34,10,8,0,0,0.130130130130129,0.456665371162069,-2.03642235579079,1.13738942047302,316,370,439,464,128.875,0,0,0,0
1995,267,195,72,8,40,24,267,212,55,0,0,225,214,18.343,28,23,5,8.6,0,0,-0.149955013495948,1.50884998549181,2.79304029304029,1.14244912531238,309,364,437,470,128.476,0,0,0,0
1996,306,217,89,22,67,0,306,303,3,0,0,333,296,24.371,44,27,17,9.1,0,0,-1.03123748498198,1.42925202477371,-0.383073496659243,0.344158136251311,318,374,441,476,128.602,0,0,0,0
1997,234,175,59,14,45,0,234,234,0,0,0,303,248,22.989,37,23,14,8.19999999999999,0,0,-3.23722812341931,1.709722874589,-0.599177249150424,0.703544103420988,327,377,449,481,128.162,0,0,0,0
1998,278,216,62,23,39,0,278,272,6,0,0,240,256,24.962,40,22,18,7.3,0,0,-2.25823314166231,0.498753117206976,-0.0179937022042275,0.593834599598299,321,386,452,490,127.284,0,0,0,0
1999,296,255,41,10,28,3,296,292,0,0,4,246,291,28.974,14,13,1,5.2,0,0,0.438549577494913,1.64506938700487,1.27778277692792,0.26043927424254,337,396,457,496,126.958,0,0,0,0
2000,346,309,37,10,13,14,346,324,9,0,13,353,325,32.977,21,16,5,3.4,0,0,-0.244941427050054,3.25497287522604,3.58951577076854,0.82258204173522,336,402,460,499,126.662,0,0,0,0
2001,374,325,49,18,21,10,374,356,15,0,3,342,330,32.783,19,12,7,5.6,0,0,0.0747304366392715,1.82136602451838,2.2214598164508,1.5115080728272,344,406,483,514,126.074,63,0,9.4,0
2002,397,338,59,23,34,2,397,364,12,0,21,401,459,49.553,13,13,0,6.3,0,0,2.12289310859824,3.19917440660475,0.704816244336301,1.53130287648054,359,424,492,543,125.866,66,6.23916811091853,8.4,-277
2003,580,405,175,24,36,115,580,467,101,0,12,468,619,60.32,15,14,1,5.2,0,0,2.8622166509976,3.35,1.74970838193634,1.53320556620281,373,423,504,537,125.817,63.9,-3.75203915171288,9.19999999999999,-78
2004,516,387,129,32,39,58,516,453,63,0,0,528,640,66.24,19,15,4,5.8,7.3,0,2.0412308317254,1.46750524109013,2.25188339338356,1.0750923266311,366,432,520,556,125.786,65,3.22033898305084,8,9
2005,501,403,98,38,26,34,501,471,15,15,0,553,615,72.782,7,3,4,5.7,6.9,0,4.02070063694266,2.40781945327399,3.05117322014895,1.05553751217927,378,441,526,575,125.411,64.2,-0.164203612479476,7,-368
2006,565,363,202,30,65,107,565,459,87,17,2,418,734,77.711,24,24,0,6.8,7.8,0,3.33907386146192,1.7226662528129,3.38047870686975,0.506186726659173,388,462,556,601,124.951,63.2,-0.164473684210517,6,-26
2007,687,412,275,46,77,152,687,546,138,3,0,635,828,106.566,44,20,24,5.2,6.1,0,0.907323395981852,1.82317491799528,2.63098549199429,0.727476217123663,421,493,570,640,125.55,66.2,6.75453047775946,4.8,355
2008,832,488,344,86,80,178,832,659,173,0,0,723,979,121.184,66,54,12,3.1,3.5,0,2.504816955684,1.74557986215163,2.89313703947849,1.95238095238094,430,518,618,663,126.315,65.9,-1.08024691358025,6.1,513
2009,659,369,290,54,53,183,659,470,158,31,0,797,873,119.145,96,79,17,3.6,4.1,0,3.25814536340853,0.493336278624543,2.78331435079727,2.74015257667756,457,541,644,683,127.432,67.0999999999999,3.43213728549142,5.7,812
2010,653,345,308,20,42,246,653,403,169,81,0,485,667,84.078,66,54,12,5.1,5.7,0,1.52565880721219,2.22010550996483,0.941893482928174,1.93211092589786,464,555,645,706,128.02,65.9,-2.86576168929108,7.5,388
2011,361,220,141,34,27,80,361,277,81,3,0,402,535,67.7279999999999,50,46,4,5.9,6.7,0,0.614754098360656,3.39760590638664,0.411663807890223,1.74682227012561,478,572,670,751,128.605,65.9,1.24223602484471,6.9,-75
2012,355,190,165,18,7,140,355,217,138,0,0,506,448,60.279,44,29,15,9.69999999999999,10.1,0,-0.118805159538355,1.56672443674176,0.198155107618728,0.379894798363533,486,587,691,734,128.339,65.8,-1.99386503067485,8.69999999999999,-428
2013,276,140,136,26,15,95,276,176,100,0,0,258,410,57.724,29,20,9,11.4,12,0,0.280373831775704,0.696198211726158,0.74331696672122,0.793304221251817,486,582,691,763,127.757,65.8,-0.312989045383404,8.9,-655
2014,236,127,109,20,10,79,236,151,85,0,0,340,321,48.701,19,15,4,9,10,3.6,-0.101669067186308,1.443774147631,1.09659513978203,1.14809733554769,493,599,714,760,127.119,65.9,0.941915227629504,7.7,-663
2015,225,130,95,9,10,76,225,146,79,0,0,158,269,50.563,11,9,2,8.5,8.69999999999999,0,-0.127215672970907,0.44099959909126,0.743220622698368,0.806681896059391,491,600,718,790,126.982,65.7,-1.08864696734058,8.19999999999999,-115
2016,151,131,20,6,9,5,151,139,12,0,0,312,232,42.155,13,8,5,8.5,9,1.8,0.730298913043476,2.20862160723789,1.94071514023659,0.637348629700446,494,623,720,768,127.549,65.5999999999999,0,8,635
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
state,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john,saint john
