,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, 1 total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes2,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5
1990,1417,1087,330,32,106,192,994,690,69,235,0,1575,1305,95.287,0,0,0,7.3,0,0,1.0963793982662,4.34583714547117,0,3.97622906537006,1.52908358301477,255,367,447,501,1007.727,66.575,-0.478416477978234,7,0,0
1991,998,775,223,88,55,80,566,467,16,83,0,1241,899,67.537,0,0,0,6.5,0,0,0.718433225076,5.2170100833,0,4.354151512,1.57728706625,261,371,453,511,1002.713,66.8916666666666,-0.185314300392652,7.4,-2.78101202580595,0
1992,1869,1484,385,116,54,215,1309,1056,105,147,1,1554,1650,131.793,87,67,20,4.7,0,0,2.57963650577,1,0,0.0597490539733,1.74313764777,269,371,454,512,1003.995,66.4749999999999,-1.16909615632064,8,-1.55576161048975,-7326
1993,1880,1342,538,88,51,399,1375,867,184,324,0,2020,1690,131.242,127,101,26,3.9,0,0,4.49609449419,3.07343234323,0,0.14928343949,1.47695943285,277,376,458,502,1006.9,66.5333333333333,0.10973681763229,8.3,3.25672258064516,-5200
1994,2098,1542,556,96,110,350,1351,908,89,354,0,1851,1669,132.818,86,83,3,2.7,0,0,2.77119416591,1.80108064839,0,-0.158998310643,1.40694740928,271,376,459,505,1009.575,66.0666666666666,1.31725624256836,6.9,-0.0314840349985349,-4608
1995,1702,1341,361,86,60,215,1285,943,33,309,0,1711,1621,133.54,103,66,37,2.2,0,0,2.01348234877,1.9461372125,0,3.00587239972,1.80843938379,277,382,465,517,1014.187,66.0416666666666,0.78667962518108,6.7,2.35457043142497,-2326
1996,2438,1612,826,134,193,499,1894,1193,27,674,0,1910,2503,191.095,123,63,60,1.9,0,0,1.69550473872,1.87042036251,0,1.77794956034,1.76691729323,285,392,477,533,1018.945,65.3499999999999,-0.742331065099518,6.6,2.52902349515182,-1043
1997,2757,1954,803,160,352,291,2013,1290,13,710,0,2409,2727,218.166,58,39,19,1.6,0,0,2.58207934337,1.24929017604,0,1.12978258806,1.95788695973,296,408,494,545,1017.902,66.15,2.1556622795762,5.9,-3.91820082093048,-2071
1998,2965,2154,811,174,222,415,2141,1447,67,627,0,3163,2843,229.224,245,126,119,1.6,0,0,2.94215702617,1.41147878108,-0.426680052708,1.94329703342,1.82065217391,306,420,507,553,1017.332,66.4833333333333,0.922303965548172,5.8,1.26031763741313,-1222
1999,3089,2070,1019,155,104,760,2192,1391,81,659,61,2722,2672,230.834,196,133,63,1.7,0,0,2.15367176747,1.70522628814,13.9328250047,1.81416336679,1.37888088248,322,433,522,577,1014.524,66.7666666666666,0.195576417040043,6,4.65074839629368,-3435
