,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,410,267,143,2,58,83,410,269,0,141,0,403,455,31.478,0,0,0,7.4,0,0,0,0.696055684454764,4.39522998296422,3.97559735638026,1.22475290073055,268,360,437,503,212.809,0,0,0,0
1991,305,224,81,8,23,50,305,232,0,73,0,318,334,25.864,0,0,0,6.1,0,0,0,-0.837871805613746,5.24369016536118,3.99960884021122,1.56017830609211,272,364,443,515,214.205,0,0,0,0
1992,464,312,152,64,29,59,464,354,18,92,0,427,488,39.774,35,28,7,4.4,0,0,0,0.42247570764682,0.775273930121973,-0.573577809120818,1.82882223847843,275,364,444,514,216.555,0,0,0,0
1993,593,309,284,52,20,212,593,313,85,195,0,625,646,46.879,58,38,20,2.7,0,0,0,3.38662179217501,2.85157452046363,-0.747115566483842,1.61124794745484,278,366,449,502,218.397,0,0,0,0
1994,682,370,312,32,8,272,682,380,42,260,0,541,581,44.598,49,47,2,1.8,0,0,0,1.46490335707019,1.61563777799939,-0.867079561696037,1.44429855570144,277,371,452,506,220.425,0,0,0,0
1995,697,479,218,62,30,126,697,469,27,201,0,615,718,55.883,61,27,34,1,0,0,0,0.962502506516944,2.01197369712435,2.20107650903498,1.7921146953405,284,379,460,519,223.629,0,0,0,0
1996,1208,635,573,104,147,322,1208,678,10,520,0,922,1328,91.514,46,22,24,0.7,0,0,0,1.82720953326712,1.77987300365595,1.10034797329069,2.55281690140844,301,392,479,541,229.246,0,0,0,0
1997,1187,709,478,114,231,133,1187,732,10,445,0,1126,1149,88.114,33,17,16,0.9,0,0,0,1.96996294129119,1.12487002552226,-0.502325581395352,3.09966618979494,312,409,500,561,230.357,0,0,0,0
1998,1137,692,445,90,161,194,1137,697,26,414,0,1315,1129,90.3259999999999,172,64,108,0.8,0,0,0,2.19969395562356,1.45821648906337,0.822737471952132,2.60869565217392,324,426,516,569,231.979,0,0,0,0
1999,1273,724,549,106,59,384,1273,727,65,462,19,981,1071,88.2219999999999,117,65,52,0.9,0,0,0,1.49728616881901,1.81499907868066,2.04933234421365,1.8662098809953,339,435,529,596,232.802,0,0,0,0
2000,968,602,366,92,130,144,968,628,24,314,2,1251,989,80.537,165,83,82,1.7,0,0,0,1.97307763230684,2.58800108587458,3.48023625624717,1.82317019205239,346,442,541,597,232.597,0,0,0,0
2001,900,542,358,58,140,160,900,545,34,321,0,932,911,79.107,144,58,86,2.9,0,0,0,2.87522603978301,2.91964364470318,3.04706708816297,1.79052585832247,356,460,558,600,231.077,67.4,0,6.2,0
2002,1489,691,798,100,382,316,1489,716,150,623,0,1010,1369,111.676,67,25,42,3.7,0,0,0,1.44137809808402,2.84538909838876,2.25820195994886,2.46776534881734,362,461,567,635,232.829,68.9,3.68098159509202,6.1,-192
2003,1455,676,779,52,416,311,1455,710,151,594,0,1675,1677,138.306,78,33,45,4.5,0,0,0,2.89377924103274,2.16666666666667,2.14166666666666,1.10833333333333,371,469,576,635,234.445,69.7,2.70498732037193,6,-331
2004,1578,753,825,100,338,387,1578,817,14,747,0,1322,1529,145.444,78,19,59,6.3,8.5,0,0,5.47322330751094,2.08809135399674,2.12123684425226,0.72529465095195,372,472,580,628,236.78,69.5999999999999,1.06995884773662,6.1,405
2005,1062,751,311,102,8,201,1062,781,12,269,0,1329,1139,131.901,133,22,111,4.6,6.7,0,0,5.58837617755069,2.29306487695748,3.64304545817687,0.646428279191553,374,477,584,629,238.297,70.7,4.39739413680781,5,-481
2006,1496,959,537,64,141,332,1496,980,24,492,0,1039,1502,164.733,24,15,9,3.2,4.2,0,0,9.04279449569029,2.17136608607356,3.33770137978879,1.77235772357723,395,496,608,639,240.548,70.7,1.95007800312012,4.4,1011
2007,2380,1485,895,120,368,407,2380,1539,130,711,0,1475,2624,324.969,26,26,0,0.6,1.8,0,0,38.80183053668,3.42481461661953,14.7098314187677,2.51637641795814,435,564,693,732,244.193,73.5,6.50344299923489,4,2990
2008,2319,1288,1031,90,242,699,2319,1375,0,944,0,2369,2181,317.842,310,271,39,1.9,3.2,0,1.8,20.5714856629034,3.86576982777736,15.1775263363246,8.72749941556924,518,675,841,860,249.745,73.2,2.08333333333333,3.9,4690
2009,1428,1101,327,44,169,114,1428,1167,2,259,0,1872,1856,232.297,313,124,189,1.9,3.4,4.1,1,-7.64003977461054,0.946484486194136,0.558943089430905,8.01978069232422,568,739,905,918,256.355,74.3,3.51864883884588,4.7,5562
2010,2381,1638,743,68,265,410,2381,1740,221,420,0,2000,3079,436.904,284,154,130,2.6,3.8,3.7,0.9,2.83509779293021,1.19844906591469,-0.466004154735834,4.87659235668789,599,765,934,959,262.929,71.9,-1.49558123725356,5.5,5375
2011,2994,1608,1386,102,433,851,2994,1798,388,808,0,2520,3181,636.25,258,172,86,2.6,4,4.6,0.4,1.3784679811551,2.47300592128178,2.07581227436822,2.29012462832923,632,787,966,1075,270.226,69.7,-0.276052449965497,5.6,4919
2012,3753,2025,1728,176,307,1245,3753,2213,272,1268,0,3122,3760,766.641,374,210,164,2.6,3.8,7.1,0.9,2.27194492254733,1.46838885112168,1.5417771883289,2.36254561197353,655,815,1002,1057,280.906,70.8,5.67474048442905,5.5,8728
2013,2980,1658,1322,230,386,706,2980,1882,225,873,0,3253,3713,720.056,523,301,222,2.7,4.1,7.4,0.7,1.50622685964322,1.0585555406673,-0.484353741496603,1.87904054135699,666,845,1041,1114,290.675,72.4,7.53110674525213,4.3,7626
2014,3531,1577,1954,206,447,1301,3531,1793,345,1393,0,2910,3529,690.599,632,372,260,3.4,5,8.6,1.2,2.36259636906243,2.32696897374701,2.12731051077327,1.57158106986123,693,884,1091,1172,298.744,71.9,2.98416565164434,4.1,5848
2015,2293,1000,1293,92,356,845,2293,1217,288,788,0,2663,2772,527.003,688,341,347,6.5,8.6,9.6,1.5,-0.396825396825407,1.86588921282797,2.56492637215529,2.10194429847609,686,895,1087,1135,305.508,71.4,0.354819633353042,5.8,4489
2016,1909,1092,817,74,219,524,1909,1184,377,348,0,2954,1843,405.19,788,285,503,10.3,13,8.2,3.1,-2.3741767623384,1.19570056604974,1.6341234206954,0.274489620861215,703,909,1100,1223,315.15,70.0999999999999,-0.824985268120198,6.9,7323
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
