,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,1179,515,664,6,40,618,1179,554,613,12,0,1401,1182,71.0819999999999,0,0,0,9.69999999999999,0,0,0,0,0,0,288,339,390,467,142.396,0,0,0,0
1991,1105,636,469,40,26,403,1105,689,384,32,0,937,1138,69.117,0,0,0,9.69999999999999,0,0,0,0,0,0,313,342,401,475,143.998,0,0,0,0
1992,749,437,312,52,17,243,749,505,210,34,0,970,826,52.064,35,25,10,9.3,0,0,0,0,0,0,318,351,408,487,144.971,0,0,0,0
1993,778,412,366,70,46,250,778,522,190,66,0,717,879,62.589,73,38,35,7.6,0,0,0,0,0,0,283,344,418,494,146.017,0,0,0,0
1994,983,434,549,135,79,335,983,643,224,116,0,923,956,64.581,90,36,54,8,0,0,0,0,0,0,278,347,420,500,147.214,0,0,0,0
1995,582,332,250,94,15,141,582,446,135,0,1,660,629,43.854,64,28,36,6.2,0,0,0,0,0,0,297,355,422,509,148.424,0,0,0,0
1996,797,309,488,182,67,239,797,558,191,48,0,775,795,51.736,39,22,17,6.6,0,0,0,0,0,0,293,358,426,513,173.349,0,0,0,0
1997,756,419,337,168,59,110,756,623,133,0,0,755,909,61.353,35,32,3,7.5,0,0,0,0,0,0,287,353,426,515,174.709,0,0,0,0
1998,590,329,261,112,0,149,590,443,147,0,0,665,783,54.517,40,29,11,7.3,0,0,0,0,0,0,282,365,433,546,175.728,0,0,0,0
1999,645,305,340,76,14,250,645,401,244,0,0,534,780,54.86,13,10,3,7.6,0,0,0,0,0,0,293,360,434,528,176.326,0,0,0,0
2000,515,283,232,42,0,190,515,342,173,0,0,614,581,52.974,10,10,0,4.7,0,0,0,0,0,0,294,362,437,529,177.83,0,0,0,0
2001,589,283,306,38,0,268,589,334,248,7,0,511,688,56.303,13,13,0,2.3,0,0,0,0,0,0,297,366,446,538,184.084,64.4,0,7.9,0
2002,857,416,441,52,0,389,857,472,338,47,0,913,1022,93.723,19,4,15,1.8,0,0,0,0,0,0,309,369,456,553,185.846,66,3.64880273660205,7.9,1435
2003,1070,511,559,58,4,497,1070,563,473,34,0,927,1246,119.18,10,0,10,0.7,0,0,0,0,0,0,319,385,471,572,187.81,67,3.19031903190318,7.8,1670
2004,1355,521,834,30,3,801,1355,571,655,129,0,1266,1398,136.331,5,1,4,0.9,1.5,0,0,0,0,0,328,392,495,591,189.681,65.5999999999999,-0.639658848614066,7.7,1564
2005,1076,557,519,50,25,444,1076,663,345,68,0,1169,1066,120.679,38,0,38,1.2,1.4,0,0,0,0,0,337,407,505,607,191.614,64.8,0.429184549356214,7.5,1482
2006,1305,473,832,38,25,769,1305,576,673,20,36,1027,1669,185.609,20,0,20,1.2,1.4,0,0,0,0,0,355,416,515,618,193.283,64.2,-0.854700854700851,8.6,1132
2007,1318,666,652,60,42,550,1318,806,363,125,24,1706,1333,178.458,6,4,2,2.4,2.6,0,0,0,0,0,366,424,529,644,195.028,63.9,3.23275862068965,6.6,1322
2008,1627,802,825,48,30,747,1627,928,486,166,47,1170,1729,214.001,19,9,10,2.8,2.9,0,0,0,0,0,368,437,543,658,196.724,63.2,0.73068893528184,6.2,1236
2009,1580,668,912,96,75,741,1580,906,492,103,79,1769,1762,218.478,78,35,43,3.9,4.3,9.7,0,0,0,0,379,442,553,669,199.113,64.2,2.6943005181347,6.6,1820
2010,1656,570,1086,228,87,771,1656,967,467,132,90,1696,1709,215.688,105,72,33,4.6,4.8,7.8,0,0,0,0,383,452,566,680,201.657,61.2,-3.93541876892027,7.4,1880
2011,1575,557,1018,208,161,649,1575,980,504,91,0,1514,1762,230.846,114,67,47,4.7,4.9,7,0,0,0,0,397,462,577,702,204.709,65.0999999999999,9.03361344537814,6.7,1852
2012,1741,610,1131,254,208,669,1741,1106,480,57,98,1434,1748,236.679,132,85,47,5,5.2,9.8,0,0,0,0,390,466,578,710,207.278,62.8,-3.46820809248554,8,1896
2013,1496,442,1054,230,99,725,1496,809,611,76,0,1622,1677,235.262,169,116,53,5.3,5.5,9,0,0,0,0,391,471,591,713,209.631,59.5,-2.9940119760479,7.1,1646
2014,1128,369,759,152,104,503,1128,651,376,101,0,1125,1361,188.992,152,87,65,5.4,5.5,7.9,0,0,0,0,404,485,604,727,211.805,61.9,4.73251028806583,7.2,1546
2015,1367,305,1062,172,101,789,1367,592,582,169,24,1524,1476,220.709,133,80,53,5.8,5.9,7.7,0,0,0,0,413,486,608,735,213.298,63,3.43811394891945,6.8,1003
2016,1197,278,919,210,80,629,1197,580,552,34,31,955,1175,170.978,132,87,45,6.4,6.6,10.2,0,0,0,0,436,502,622,764,215.594,62.6,1.23456790123456,6.2,1687
