,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,"New Housing Price Index (% change)4,7","Consumer Price Index (% change)4,7","Owned accommodation costs (% change)4,7","Rental accommodation costs (% change)4,7",  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,629,412,217,120,10,87,629,442,187,0,0,572,690,65.006,0,0,0,1,0,0,5.62799616490892,4.27837354781053,5.8023483365949,2.65086856110051,303,451,567,598,128.009,0,0,0,0
1991,771,277,494,35,170,289,771,351,287,132,1,528,612,58.662,0,0,0,1,0,0,0.344921484977759,5.69898232458491,7.70369000277443,3.12041475105154,316,471,601,650,128.819,0,0,0,0
1992,563,353,210,40,60,110,563,353,197,13,0,875,614,60.112,1,1,0,2.5,0,0,-0.443238353686114,1.99655417046721,2.13807315816589,3.7279453614115,320,485,620,672,129.59,0,0,0,0
1993,573,310,263,22,0,241,573,308,234,31,0,393,599,56.1,2,2,0,2.7,0,0,1.98982373250953,1.92766295707472,1.37873055905842,2.64288980338362,348,514,632,723,129.513,0,0,0,0
1994,449,296,153,28,0,125,449,318,95,36,0,599,542,53.997,24,14,10,4.1,0,0,1.32739420935411,0.126730356794695,-0.149266108300845,1.72843905915895,360,518,655,786,129.23,0,0,0,0
1995,288,196,92,36,0,56,288,214,43,31,0,304,326,34.335,16,10,6,6.2,0,0,0.228591524529627,2.77480284295588,1.735736234532,1.31371518654755,375,518,659,788,129.13,0,0,0,0
1996,296,162,134,18,0,116,296,176,56,64,0,270,393,33.254,14,4,10,5.6,0,0,-0.210526315789473,1.61045850701024,0.0734693877551048,0.890387275242048,350,530,672,809,134.163,0,0,0,0
1997,266,184,82,10,12,60,266,202,16,48,0,332,301,32.705,17,7,10,7.7,0,0,-0.545007032348803,1.94853626701472,-1.50093808630393,0.694027932482218,385,526,666,822,133.371,0,0,0,0
1998,224,161,63,14,5,44,224,180,8,36,0,211,260,27.591,19,5,14,9.3,0,0,-2.27152200813151,0.612711476909001,-1.77225672877846,0.374404356705234,362,520,647,809,132.277,0,0,0,0
1999,232,192,40,4,0,36,232,196,0,36,0,282,208,24.913,18,7,11,7.5,0,0,-1.03102107262368,1.80876204326486,0.193912823539326,0.491692099016616,382,519,647,792,131.281,0,0,0,0
2000,154,141,13,8,5,0,154,154,0,0,0,207,229,26.953,21,13,8,5.8,0,0,-1.28849492826463,2.65154896884207,0.908784920902059,0.118103593723645,379,527,654,802,130.115,0,0,0,0
2001,211,163,48,6,4,38,211,169,4,38,0,137,194,23.581,18,10,8,5.8,0,0,-0.888724310312905,2.79178987650025,0.783855903935955,0.57296932928884,375,529,657,819,126.698,66,0,8,0
2002,197,193,4,4,0,0,197,197,0,0,0,171,272,34.115,10,10,0,4.7,0,0,0.943396226415089,1.53989339199595,-0.703293066357764,0.511058981233236,398,532,657,820,126.822,64.3,-0.324675324675329,6.5,-914
2003,211,199,12,12,0,0,211,210,0,0,1,265,316,37.709,3,3,0,3.3,0,0,0.943832701027106,2.33313890509123,-0.0666611115740459,0.533466700008333,421,552,672,834,127.462,67.7,6.67752442996743,5.9,-420
