,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Teranet - National Bank House Price Index (% change)7,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,17970,6316,11654,607,3047,8000,17970,6425,1895,9265,385,19925,16794,1688.039,0,0,0,0.9,0,0,0,5.72038203617151,0,5.52479945768839,7.15775423375323,6.44539614561027,472,566,751,876,1608.288,0,0,0,0
1991,14769,6991,7778,430,1429,5919,14769,7080,1738,5726,225,14630,16436,1761.214,0,0,0,2.2,0,0,0,-7.1600192215281,6.10200364298725,5.1713062098501,0.428182172051377,4.22450211225105,472,585,752,896,1646.854,0,0,0,0
1992,18684,7603,11081,770,2542,7769,18684,7759,1901,8818,206,16487,19392,2192.42,2556,907,1649,1.6,0,0,0,8.78881987577639,10.8841201716738,2.93189453323832,1.95348837209301,2.3547577687705,480,594,771,902,1691.289,0,0,0,0
1993,21307,6593,14714,929,2340,11445,21307,6899,1435,12923,50,19737,20135,2279.095,3726,1312,2414,1.1,0,0,0,7.67913217242364,6.25483821024925,3.65938087231728,3.98418491484185,1.99886856496324,494,611,790,935,1736.726,0,0,0,0
1994,20473,6345,14128,822,2672,10634,20473,6627,1181,12665,0,20387,20174,2420.394,4291,1377,2914,0.8,0,0,0,-0.583244962884417,3.64272184176015,2.02270775689342,-0.877449546651067,1.75633203919393,513,623,812,957,1792.984,0,0,0,0
1995,14992,4526,10466,570,1686,8210,14992,4543,669,9683,97,19837,14659,1932.687,5462,1562,3900,1.2,0,0,0,-5.15555555555555,-2.09475608041612,2.49696062844851,-0.597521392741219,1.39898255813953,538,640,826,998,1850.604,0,0,0,0
1996,15453,5072,10381,568,1841,7972,15453,5149,715,9505,84,13917,17739,2391.905,3869,1224,2645,1.1,0,0,0,-6.09184629803186,0.40206777713958,0.802919708029193,-3.35435992578849,1.66636803440243,556,661,845,991,1905.312,0,0,0,0
1997,15950,4685,11265,726,1800,8739,15950,4937,1248,9694,71,16041,15214,2002.403,4201,1262,2939,1.7,0,0,0,-3.18363273453093,-0.486270022883295,0.561187545257058,-4.00829302004147,1.15438843849136,564,672,852,1045,1957.766,0,0,0,0
1998,11878,3373,8505,656,1261,6588,11878,3710,499,7669,0,13927,11103,1482.54,4833,1337,3496,2.7,0,0,0,-5.06133388310484,-3.86605346363897,0.486048604860492,-3.23974082073434,0.897290704765224,590,675,870,1005,1985.55,0,0,0,0
1999,8677,3568,5109,380,953,3776,8677,3912,988,3762,15,11102,9798,1397.586,3630,743,2887,2.7,0,0,0,-4.00651465798044,1.22589325758706,0.913651021139371,-1.96759259259259,0.509411155240884,585,683,864,993,2013.081,0,0,0,0
2000,8203,3132,5071,496,1132,3443,8203,3602,1145,3421,35,9106,9313,1304.412,3273,809,2464,1.4,0,0,0,-0.950118764845606,0.57598582188747,2.25457127640688,0.413223140495865,0.438106691864971,598,695,890,1022,2040.832,0,0,0,0
2001,10862,3512,7350,568,1216,5566,10862,4054,2721,3960,127,8004,10426,1630.929,1273,406,867,1,0,0,0,0.730843896311517,3.23054331864904,1.82291666666667,0.915427899554881,1.16318850496064,621,726,919,1060,2074.543,65.5999999999999,0,6.6,0
2002,13197,4980,8217,730,1731,5756,13197,5569,1302,6275,51,12068,14905,2286.128,929,473,456,1.4,0,0,0,2.48271171069039,7.82361308677097,2.30179028132991,-0.124833555259639,1.44572201555631,638,743,954,1127,2098.155,67.0999999999999,2.45759444872783,7.8,26077
2003,15626,5382,10244,730,2356,7158,15626,5759,944,8923,0,13394,15070,2525.475,825,571,254,2,0,0,0,3.29646017699115,11.2269129287599,2.01666666666666,1.39988334305473,1.17509792482706,654,759,965,1119,2115.57,67.7,2.59618098015239,7.2,19691
2004,19430,5614,13816,974,3334,9508,19430,6037,746,12647,0,14302,20973,3265.55,1073,767,306,1.3,2.3,0,0,4.92610837438423,11.3746886490333,1.97680117627838,1.89004848385241,1.03789126853377,668,774,984,1153,2133.234,67.3,1.0635371779591,6.8,20956
2005,18914,4935,13979,714,3281,9984,18914,5244,586,13084,0,15834,20017,3555.488,838,559,279,1.4,2.7,0,0,4.37844458052663,13.4824281150159,1.89842999038769,1.94370513751109,0.456546551443015,678,788,1004,1184,2159.016,67,2.18633765762497,5.7,29412
2006,18705,5614,13091,676,2852,9563,18705,6096,509,12086,14,18072,21095,3902.991,1018,803,215,0.7,1.3,0,0,6.86418304488119,20.8333333333333,1.85520006288814,3.97943037974683,0.462587242330784,701,816,1045,1220,2188.844,66.3,1.90873579545454,4.4,31021
