,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Teranet - National Bank House Price Index (% change)7,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,2588,1238,1350,72,441,837,2588,1285,227,1050,26,2660,2605,212.511,0,0,0,0.3,0,0,0,7.00398406374502,0,5.26900844819919,6.05523794186325,5.91480909291547,393,488,615,736,290.272,0,0,0,0
1991,2129,1160,969,99,218,652,2129,1204,499,262,164,2512,2184,174.583,0,0,0,0.8,0,0,0,-1.45208131655373,15.2598114448586,5.72333685322069,1.13886568977299,5.77203584080015,416,522,664,733,295.566,0,0,0,0
1992,2421,1082,1339,168,261,910,2421,1275,410,697,39,2316,2547,200.337,298,96,202,1.5,0,0,0,4.95692912195859,9.73939509225794,2.0874950059928,-0.165152766308839,4.43262411347517,437,540,684,789,300.511,0,0,0,0
1993,2633,811,1822,242,461,1119,2633,1004,421,1208,0,2443,2949,241.316,337,106,231,1.8,0,0,0,2.93016558675305,4.92286358120992,2.98405244105273,1.66929844349198,2.85795132993775,451,558,703,812,304.903,0,0,0,0
1994,2303,710,1593,175,257,1161,2303,823,170,1310,0,2557,2503,206.985,545,122,423,1.9,0,0,0,-0.909281667482681,1.88336362134478,2.05206156184685,-1.32386657791582,2.52177900045851,459,567,713,821,309.537,0,0,0,0
1995,1299,449,850,77,141,632,1299,487,78,734,0,1908,1296,124.069,680,82,598,3.3,0,0,0,-8.58332745111879,-2.23771688016863,2.47626140383541,0.719532304002395,1.46690518783541,466,567,715,820,313.42,0,0,0,0
1996,1142,586,556,102,120,334,1142,604,140,398,0,1106,1263,136.574,334,53,281,4.1,0,0,0,-7.10369855609605,-0.497594957704428,0.917514534883716,-3.72079178449174,1.35754583921015,466,569,717,827,316.293,0,0,0,0
1997,1311,637,674,138,170,366,1311,701,138,472,0,1245,1230,129.055,345,103,242,3.5,0,0,0,-3.00058183027179,0.550091681946995,0.954181294445947,-2.94481372700571,0.721864672116886,467,569,724,850,318.159,0,0,0,0
1998,964,520,444,81,110,253,964,644,34,286,0,1140,1138,125.963,418,141,277,3.8,0,0,0,-5.64695801199657,-0.464190981432366,0.240748996879176,-3.65533168750498,0.233140488731551,464,569,722,822,318.676,0,0,0,0
1999,1340,531,809,67,131,611,1340,595,48,697,0,896,1419,146.174,274,87,187,3.6,0,0,0,-4.95867768595041,0.699533644237182,1.04074008183597,-1.89287485534799,0.447966919365958,468,574,728,846,320.013,0,0,0,0
