,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,1588,835,753,76,106,571,1588,835,717,36,0,1433,1515,138.751,0,0,0,2.5,0,0,4.35042905607663,4.8152668367913,0,0,304,476,590,596,269.349,0,0,0,0
1991,1279,804,475,30,162,283,1279,804,402,3,70,1397,1366,132.102,0,0,0,3.3,0,0,0.0286861732644961,4.63639250555731,0,0,331,485,601,607,270.326,0,0,0,0
1992,1376,1068,308,122,90,96,1376,1122,98,40,116,1612,1334,158.422,72,62,10,3.3,0,0,-0.028677946659016,1.02175012645421,0,0,344,500,620,619,272.21,0,0,0,0
1993,1222,1045,177,68,39,70,1222,1131,31,60,0,1331,1295,151.493,178,159,19,2.7,0,0,-0.545037292025247,1.78249549369117,0,0,359,510,631,695,274.421,0,0,0,0
1994,1661,1340,321,84,53,184,1661,1451,106,104,0,1504,1727,213.496,169,146,23,1.6,0,0,0.134602442072875,0.0491932310114205,0,0,381,525,643,664,278.123,0,0,0,0
1995,1495,1217,278,80,64,134,1495,1334,53,108,0,1497,1589,192.015,153,111,42,1.8,0,0,1.16178588574171,2.46828596715508,0,0,371,549,667,660,281.833,0,0,0,0
1996,2300,1629,671,196,144,331,2300,1907,195,198,0,2007,2175,273.082,150,118,32,2.8,0,0,0.379650721336366,1.51631477927062,0,0,394,557,682,724,296.315,0,0,0,0
1997,2102,1574,528,284,114,130,2102,1929,59,114,0,2241,2311,288.565,201,154,47,4.5,0,0,3.61195158850227,1.8812629986765,0,0,400,561,680,702,299.666,0,0,0,0
1998,1938,1355,583,198,127,258,1938,1669,8,261,0,1810,2110,259.76,222,193,29,4.3,0,0,0.301149844862192,0.927902013547366,0,0,427,568,680,686,303.254,0,0,0,0
1999,2387,1761,626,324,203,99,2387,2284,12,91,0,2192,2416,331.151,124,114,10,2.7,0,0,0.564097898280421,1.93987312678127,0,0,437,578,696,734,306.941,0,0,0,0
2000,2382,1748,634,292,127,215,2382,2154,38,142,48,2667,2119,284.384,78,60,18,1.9,0,0,0.732832715099964,2.94011544011545,0,0,448,599,736,838,312.41,0,0,0,0
2001,2157,1605,552,218,158,176,2157,1967,46,143,1,2022,2275,316.173,59,56,3,2.9,0,0,-0.0808334830249596,3.05764850183983,0,0,466,618,738,883,320.946,65.8,0,6.8,0
2002,2490,1726,764,350,179,235,2490,2248,30,209,3,2445,2478,341.843,58,10,48,3.9,0,0,0.458426966292132,2.01479214486101,0,0,481,638,769,906,326.628,67.3,3.1470777135517,8.1,3540
2003,2237,1632,605,213,244,148,2237,2084,18,87,48,2316,2404,337.963,43,21,22,4.3,0,0,0.0715819613457449,2.64999999999999,0,0,494,650,776,963,330.232,67.0999999999999,1.74346201743462,7.5,1509
2004,2287,1539,748,194,271,283,2287,1974,123,190,0,2232,2285,337.772,19,11,8,8.8,10.4,0,0.357653791130182,1.88342263354441,0,0,488,650,776,903,333.182,67.0999999999999,-0.0611995104039132,8.6,705
2005,1496,1110,386,96,182,108,1496,1372,50,74,0,1879,1491,233.919,16,16,0,10.3,12.1,0,2.95794725588025,2.19920318725098,0,0,498,650,780,959,335.178,65.4,-0.857317819963261,8,-297
2006,1045,692,353,50,90,213,1045,836,8,201,0,951,1037,176.532,47,35,12,10.4,12,0,-0.0692281066112765,1.76204584437862,0,0,494,650,774,881,336.009,66.9,1.66769610870907,9,-2934
2007,614,417,197,48,83,66,614,485,20,109,0,513,644,114.468,70,65,5,12.8,14.4,0,-2.07828195358503,1.83113699049953,0,0,495,641,773,878,333.507,64.0999999999999,-4.8602673147023,9.3,-2735
2008,453,328,125,22,87,16,453,368,16,69,0,551,460,85.003,75,55,20,14.6,16.8,0,0.389105058365751,2.27221428034007,0,0,503,645,772,883,330.475,63.7,-1.14942528735631,9.3,-2962
2009,391,303,88,14,68,6,391,345,4,42,0,410,395,77.464,52,36,16,13,14.9,22.5,0.10570824524314,0.375193114102854,0,0,462,622,747,829,328.335,63.7,-5.42635658914729,13.9,-2164
2010,617,460,157,26,89,42,617,505,49,63,0,611,671,123.136,65,43,22,10.9,12.5,17.8,-0.827173530447028,2.43330401641747,0,0,482,627,752,891,328.173,62.4,0.751366120218575,11.7,-64
2011,719,466,253,92,153,8,719,551,72,96,0,568,695,145.367,40,35,5,8.1,9.19999999999999,18,-3.07009760425909,3.08385804235832,0,0,482,625,753,880,328.321,61,0.271186440677969,9.9,-1457
2012,717,536,181,68,107,6,717,618,7,92,0,903,718,181.458,362,307,55,7.3,8.4,22.8,2.02306847308677,1.40903727354758,0,0,502,647,778,926,330.889,62.4,3.65111561866126,9.69999999999999,1804
