,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Teranet - National Bank House Price Index (% change)7,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,2147,1905,242,32,6,204,2147,1910,109,0,128,2970,1941,168.892,0,0,0,6.4,0,0,0,1.87937062937064,0,4.59809654856094,4.54831272269963,2.46964395966248,309,419,531,614,665.754,0,0,0,0
1991,1349,1006,343,0,0,343,1349,1006,137,144,62,1436,1564,113.41,0,0,0,6.6,0,0,0,-0.128700128700128,1.29699556723035,5.15237886428415,5.95429029671211,3.23358104036955,318,427,539,637,671.19,0,0,0,0
1992,1620,1261,359,4,10,345,1620,1263,119,132,106,1520,1808,149.346,207,131,76,6.1,0,0,0,-0.085910652920967,1.13452188006482,1.49082568807339,0.42573320719016,2.8793774319066,324,436,553,654,673.378,0,0,0,0
1993,1540,1210,330,24,24,282,1540,1230,113,188,9,1627,1705,150.543,284,215,69,5.9,0,0,0,3.56835769561478,0.897435897435894,2.67077555213149,-0.00942063118228064,1.77760968229955,326,437,557,664,675.927,0,0,0,0
1994,1529,1201,328,2,105,221,1529,1203,66,223,37,1572,1734,148.562,275,231,44,5.6,0,0,0,3.42465753424658,0.667090216010168,1.43071535767882,1.5262860373092,0.873281308063914,328,442,559,655,677.682,0,0,0,0
1995,1104,840,264,8,49,207,1104,840,0,264,0,1265,1228,105.845,285,253,32,5.4,0,0,0,1.50511739915714,-0.710003155569582,2.68297494574867,3.37787676317742,1.06833671025971,334,446,561,665,680.272,0,0,0,0
1996,1135,838,297,54,61,182,1135,836,98,201,0,678,1204,111.651,146,119,27,6,0,0,0,0.929221035982591,0.810424280947086,2.14217098943323,0.852782764811495,0.965919445963177,329,441,567,655,684.138,0,0,0,0
1997,1518,1192,326,86,22,218,1518,1183,179,156,0,1750,1558,141.286,180,152,28,5.9,0,0,0,1.37120470127326,0.69356872635562,2.0878397441926,0,0.87545126353791,331,446,568,665,683.782,0,0,0,0
1998,1575,1190,385,62,46,277,1575,1132,223,220,0,1531,1811,151.624,246,164,82,4,0,0,0,0.792270531400956,1.51847213525357,1.36342699216951,0.783266577659102,0.885747517222871,338,453,574,671,684.747,0,0,0,0
1999,1772,1204,568,48,9,511,1772,1158,304,310,0,1485,1456,143.181,175,143,32,3,0,0,0,1.61042944785276,3.05319969159598,1.98127783331818,1.84580058288438,0.904576090812338,337,456,582,677,688.187,0,0,0,0
2000,1317,1210,107,14,27,66,1317,1170,66,81,0,1487,1342,152.947,215,199,16,2,0,0,0,2.84905660377358,2.96274128385456,2.46858568755013,2.90496011099549,1.18650026366672,339,473,588,729,692.48,0,0,0,0
2001,1473,1238,235,34,32,169,1473,1204,76,109,84,1542,1576,160.407,168,157,11,1.4,0,0,0,1.76114474408365,4.30170033425372,2.85267002957035,1.28086289710963,1.7111091809259,357,476,605,706,695.868,69.8,0,5.2,0
2002,1821,1528,293,24,9,260,1821,1502,179,140,0,1585,1750,199.117,108,94,14,1.2,0,0,0,2.63205336217775,7.09209976313223,1.46287840351767,-0.14144271570014,2.47651579846285,378,490,622,724,700.033,70.9,2.49110320284696,5.2,1392
2003,2430,1641,789,48,36,705,2430,1615,411,404,0,1949,2733,268.369,144,133,11,1.3,0,0,0,3.67117512734938,10.1613322924798,1.78348195682972,0.908181969671719,2.04999999999999,379,508,645,779,704.341,70,-0.240384615384609,5.2,1687
2004,2489,1882,607,50,32,525,2489,1861,397,231,0,2468,2938,342.036,223,183,40,1.1,1.8,0,0,6.67570315147406,10.9838195346639,1.90780316056662,2.10552390388902,1.55969296096684,388,519,664,785,710.292,70.4,1.5528781793842,5.5,3251
2005,2586,1756,830,34,104,692,2586,1758,474,354,0,2475,2723,328.783,204,186,18,1.7,2.5,0,0,8.46569250317664,10.088326061509,2.63538486260644,3.39640950994662,1.59202379995176,405,539,683,795,713.063,68.9,-0.527287107830213,4.8,274
2006,2777,1737,1040,94,51,895,2777,1755,619,403,0,2618,3729,440.142,229,203,26,1.3,2,0,0,9.45965734368135,11.8608023199613,1.94144355722561,3.37869544814641,1.78076770874554,420,557,709,839,715.928,69.5999999999999,1.98780811025709,4.6,1229
2007,3371,1870,1501,16,93,1392,3371,1846,803,722,0,2590,3849,492.666,285,204,81,1.5,1.8,0,0,11.8394648829431,17.3867957137919,2.06573491015205,5.477379331215,1.81959564541212,451,578,740,874,719.065,70.5,1.94906444906444,4.7,5454
2008,3009,1930,1079,34,113,932,3009,1943,322,720,24,3543,3457,541.612,429,287,142,1,1.4,0,0,10.1794258373205,8.76030624263839,2.25716650364907,5.24315019365944,2.03146479303498,464,602,769,920,723.251,70.5,1.1215906194239,4.3,6641
2009,2033,1505,528,38,87,403,2033,1510,383,140,0,2670,2370,372.403,274,169,105,1.1,2,8.3,0,2.54044077733144,7.0867740625423,0.5739092046207,2.08546309548149,2.6122754491018,447,615,809,946,729.333,70.0999999999999,-0.579783211494835,5.4,8210
2010,3244,1921,1323,42,140,1141,3244,1921,807,516,0,2388,3898,581.971,311,197,114,0.8,1.4,7.1,0,4.76442562202223,4.81638328803488,0.790109005779511,-0.300420588824354,2.72084032387481,488,649,837,1056,736.368,70.3,0.938133874239362,5.8,8956
2011,3331,2002,1329,38,333,958,3331,2006,812,513,0,3179,3909,590.521,259,192,67,1.1,1.6,7.8,1.8,4.82061647296613,8.71374298980882,2.86709733613994,3.33467255926074,2.01675898309899,524,678,875,1050,746.059,69.2,-0.276312484300432,5.9,10852
2012,4065,2129,1936,118,188,1630,4065,2186,844,1035,0,3258,4616,782.061,351,225,126,1.7,2.5,5,1.3,4.21326648669496,3.90503660971821,1.55235675980807,2.76697770865733,2.34581651120702,527,704,911,1027,759.403,69.7,3.07304785894206,5.5,10720
2013,4705,2218,2487,114,449,1924,4705,2314,808,1583,0,3891,4470,769.132,484,304,180,2.5,4,4.6,1.5,4.88481820704967,3.38458253256459,2.22345747637576,2.93839460243394,1.78194926205536,578,750,969,1180,770.461,69.2,0.635386119257092,5.9,8108
2014,4248,1877,2371,130,427,1814,4248,1997,655,1596,0,3464,5428,948.122,482,255,227,2.5,3.4,3.5,2.6,1.63182499779482,1.54910668181349,1.86922240348015,2.53598774885146,1.67724690945538,586,782,1016,1191,783.02,67.8,-0.242836328314715,5.8,9564
2015,4400,1649,2751,294,382,2075,4400,1898,1651,851,0,4182,4197,775.197,815,299,516,2.9,5.5,4.1,0,1.10223919458427,-1.0729177260246,1.32781744178288,1.79819583009737,1.71529968454258,613,813,1045,1230,794.729,69.2,3.33495618305744,6,8656
2016,4054,1858,2196,208,353,1635,4054,2046,1191,817,0,4594,4563,833.329,595,244,351,2.8,4.2,2.2,1.8,1.86282084299081,3.37188383448985,1.25773738970103,2.41784037558685,1.17593848937133,634,836,1068,1327,811.874,68.5999999999999,0.14134275618375,6.6,14027
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
state,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg,winnipeg
