REF_DATE,GEO,DGUID,VECTOR,COORDINATE,Population estimate
Jan-46,Canada,2016A000011124,v1,1,12188000
Apr-46,Canada,2016A000011124,v1,1,12241000
Jul-46,Canada,2016A000011124,v1,1,12316000
Oct-46,Canada,2016A000011124,v1,1,12393000
Jan-47,Canada,2016A000011124,v1,1,12450000
Apr-47,Canada,2016A000011124,v1,1,12507000
Jul-47,Canada,2016A000011124,v1,1,12576000
Oct-47,Canada,2016A000011124,v1,1,12646000
Jan-48,Canada,2016A000011124,v1,1,12710000
Apr-48,Canada,2016A000011124,v1,1,12773000
Jul-48,Canada,2016A000011124,v1,1,12852000
Oct-48,Canada,2016A000011124,v1,1,12930000
Jan-49,Canada,2016A000011124,v1,1,12998000
Apr-49,Canada,2016A000011124,v1,1,13399000
Jul-49,Canada,2016A000011124,v1,1,13475000
Oct-49,Canada,2016A000011124,v1,1,13548000
Jan-50,Canada,2016A000011124,v1,1,13607000
Apr-50,Canada,2016A000011124,v1,1,13663000
Jul-50,Canada,2016A000011124,v1,1,13737000
Oct-50,Canada,2016A000011124,v1,1,13807000
Jan-51,Canada,2016A000011124,v1,1,13870000
Apr-51,Canada,2016A000011124,v1,1,13937000
Jul-51,Canada,2016A000011124,v1,1,14050000
Jul-51,Newfoundland and Labrador,2016A000210,v2,2,362000
Jul-51,Prince Edward Island,2016A000211,v8,3,99000
Jul-51,Nova Scotia,2016A000212,v9,4,643000
Jul-51,New Brunswick,2016A000213,v10,5,517000
Jul-51,Quebec,2016A000224,v11,6,4066000
Jul-51,Ontario,2016A000235,v12,7,4615000
Jul-51,Manitoba,2016A000246,v13,8,778000
Jul-51,Saskatchewan,2016A000247,v14,9,834000
Jul-51,Alberta,2016A000248,v15,10,943000
Jul-51,British Columbia,2016A000259,v3,11,1168000
Jul-51,Yukon,2016A000260,v4,12,9000
Jul-51,Northwest Territories including Nunavut,,v5,13,16000
Oct-51,Canada,2016A000011124,v1,1,14163000
Oct-51,Newfoundland and Labrador,2016A000210,v2,2,365000
Oct-51,Prince Edward Island,2016A000211,v8,3,99000
Oct-51,Nova Scotia,2016A000212,v9,4,646000
Oct-51,New Brunswick,2016A000213,v10,5,519000
Oct-51,Quebec,2016A000224,v11,6,4095000
Oct-51,Ontario,2016A000235,v12,7,4665000
Oct-51,Manitoba,2016A000246,v13,8,784000
Oct-51,Saskatchewan,2016A000247,v14,9,836000
Oct-51,Alberta,2016A000248,v15,10,950000
Oct-51,British Columbia,2016A000259,v3,11,1179000
Oct-51,Yukon,2016A000260,v4,12,9000
Oct-51,Northwest Territories including Nunavut,,v5,13,16000
Jan-52,Canada,2016A000011124,v1,1,14277000
Jan-52,Newfoundland and Labrador,2016A000210,v2,2,368000
Jan-52,Prince Edward Island,2016A000211,v8,3,100000
Jan-52,Nova Scotia,2016A000212,v9,4,647000
Jan-52,New Brunswick,2016A000213,v10,5,521000
Jan-52,Quebec,2016A000224,v11,6,4126000
Jan-52,Ontario,2016A000235,v12,7,4717000
Jan-52,Manitoba,2016A000246,v13,8,789000
Jan-52,Saskatchewan,2016A000247,v14,9,836000
Jan-52,Alberta,2016A000248,v15,10,959000
Jan-52,British Columbia,2016A000259,v3,11,1189000
Jan-52,Yukon,2016A000260,v4,12,9000
Jan-52,Northwest Territories including Nunavut,,v5,13,16000
Apr-52,Canada,2016A000011124,v1,1,14376000
Apr-52,Newfoundland and Labrador,2016A000210,v2,2,371000
Apr-52,Prince Edward Island,2016A000211,v8,3,100000
Apr-52,Nova Scotia,2016A000212,v9,4,651000
Apr-52,New Brunswick,2016A000213,v10,5,524000
Apr-52,Quebec,2016A000224,v11,6,4153000
Apr-52,Ontario,2016A000235,v12,7,4757000
Apr-52,Manitoba,2016A000246,v13,8,794000
Apr-52,Saskatchewan,2016A000247,v14,9,838000
Apr-52,Alberta,2016A000248,v15,10,965000
Apr-52,British Columbia,2016A000259,v3,11,1198000
Apr-52,Yukon,2016A000260,v4,12,9000
Apr-52,Northwest Territories including Nunavut,,v5,13,16000
Jul-52,Canada,2016A000011124,v1,1,14496000
Jul-52,Newfoundland and Labrador,2016A000210,v2,2,375000
Jul-52,Prince Edward Island,2016A000211,v8,3,100000
Jul-52,Nova Scotia,2016A000212,v9,4,654000
Jul-52,New Brunswick,2016A000213,v10,5,527000
Jul-52,Quebec,2016A000224,v11,6,4183000
Jul-52,Ontario,2016A000235,v12,7,4802000
Jul-52,Manitoba,2016A000246,v13,8,799000
Jul-52,Saskatchewan,2016A000247,v14,9,845000
Jul-52,Alberta,2016A000248,v15,10,977000
Jul-52,British Columbia,2016A000259,v3,11,1209000
Jul-52,Yukon,2016A000260,v4,12,9000
Jul-52,Northwest Territories including Nunavut,,v5,13,16000
Oct-52,Canada,2016A000011124,v1,1,14598000
Oct-52,Newfoundland and Labrador,2016A000210,v2,2,377000
Oct-52,Prince Edward Island,2016A000211,v8,3,101000
Oct-52,Nova Scotia,2016A000212,v9,4,657000
Oct-52,New Brunswick,2016A000213,v10,5,529000
Oct-52,Quebec,2016A000224,v11,6,4209000
Oct-52,Ontario,2016A000235,v12,7,4841000
Oct-52,Manitoba,2016A000246,v13,8,802000
Oct-52,Saskatchewan,2016A000247,v14,9,850000
Oct-52,Alberta,2016A000248,v15,10,985000
Oct-52,British Columbia,2016A000259,v3,11,1222000
Oct-52,Yukon,2016A000260,v4,12,9000
Oct-52,Northwest Territories including Nunavut,,v5,13,16000
Jan-53,Canada,2016A000011124,v1,1,14682000
Jan-53,Newfoundland and Labrador,2016A000210,v2,2,379000
Jan-53,Prince Edward Island,2016A000211,v8,3,101000
Jan-53,Nova Scotia,2016A000212,v9,4,660000
Jan-53,New Brunswick,2016A000213,v10,5,530000
Jan-53,Quebec,2016A000224,v11,6,4228000
Jan-53,Ontario,2016A000235,v12,7,4876000
Jan-53,Manitoba,2016A000246,v13,8,804000
Jan-53,Saskatchewan,2016A000247,v14,9,852000
Jan-53,Alberta,2016A000248,v15,10,994000
Jan-53,British Columbia,2016A000259,v3,11,1233000
Jan-53,Yukon,2016A000260,v4,12,9000
Jan-53,Northwest Territories including Nunavut,,v5,13,16000
Apr-53,Canada,2016A000011124,v1,1,14763000
Apr-53,Newfoundland and Labrador,2016A000210,v2,2,382000
Apr-53,Prince Edward Island,2016A000211,v8,3,101000
Apr-53,Nova Scotia,2016A000212,v9,4,662000
Apr-53,New Brunswick,2016A000213,v10,5,532000
Apr-53,Quebec,2016A000224,v11,6,4249000
Apr-53,Ontario,2016A000235,v12,7,4907000
Apr-53,Manitoba,2016A000246,v13,8,806000
Apr-53,Saskatchewan,2016A000247,v14,9,855000
Apr-53,Alberta,2016A000248,v15,10,1002000
Apr-53,British Columbia,2016A000259,v3,11,1242000
