REF_DATE,GEO,DGUID,Coordinate,"Population,2021","Population,2016",Population percentage change,"Total private dwellings,2021","Private dwellings occupied by usual residents, 2021","Land area in square kilometres,2021","Population density per square kilometre,2021"
2021,Canada,2021A000011124,1,36991981,35151728,5.2,16284235,14978941,8788702.8,4.2
2021,Newfoundland and Labrador,2021A000210,2,510550,519716,-1.8,269184,223253,358170.37,1.4
2021,Bay Roberts,2021S05100046,3,6897,6896,0.0,3184,2888,16.88,408.5
2021,Bishop's Falls,2021S05100072,4,3006,3087,-2.6,1498,1386,6.89,436.1
2021,Bonavista,2021S05100082,5,2979,3140,-5.1,1628,1379,4.36,683.1
2021,Botwood,2021S05100084,6,2741,2819,-2.8,1374,1237,5.54,494.4
2021,Burgeo,2021S05100107,7,1176,1307,-10.0,659,570,2.08,566.5
2021,Carbonear,2021S05100136,8,6235,6613,-5.7,3118,2829,11.16,558.9
2021,Channel-Port aux Basques,2021S05100155,9,3127,3665,-14.7,1644,1500,5.17,605.2
2021,Clarenville-Shoal Harbour,2021S05100182,10,6143,5828,5.4,2854,2573,12.46,493.0
2021,Corner Brook,2021S05100204,11,19129,19546,-2.1,9451,8775,21.6,885.4
2021,Deer Lake,2021S05100219,12,4346,4632,-6.2,2066,1920,8.2,529.8
2021,Gander,2021S05100311,13,9918,10220,-3.0,4604,4285,13.64,727.2
2021,Grand Bank,2021S05100329,14,2071,2230,-7.1,1136,1011,2.24,924.7
2021,Grand Falls-Windsor,2021S05100332,15,11986,12519,-4.3,5816,5372,12.34,971.2
2021,Happy Valley-Goose Bay,2021S05100354,16,6996,6678,4.8,2936,2698,10.17,687.9
2021,Labrador City,2021S05100438,17,9011,8763,2.8,4075,3720,14.5,621.7
2021,Lewisporte,2021S05100469,18,2064,2179,-5.3,1002,889,2.33,884.0
2021,Marystown,2021S05100509,19,2671,2702,-1.1,1355,1219,5.71,468.2
2021,Massey Drive,2021S05101444,20,1606,1632,-1.6,670,626,2.45,655.1
2021,Pasadena,2021S05101203,21,2769,2800,-1.1,1268,1193,3.54,781.9
2021,Placentia,2021S05101575,22,1338,1374,-2.6,761,638,2.62,510.0
2021,Sheshatshiu,2021S05101577,23,1049,1272,-17.5,331,299,1.61,653.5
2021,Springdale,2021S05100778,24,2182,2178,0.2,1081,980,3.76,579.6
2021,St. Anthony,2021S05100786,25,1986,2049,-3.1,943,842,4.52,439.0
2021,St. John's,2021S05100792,26,185565,181955,2.0,86189,79537,178.0,1042.5
2021,Stephenville,2021S05100888,27,7344,7271,1.0,3685,3488,15.48,474.5
2021,Stephenville Crossing,2021S05100889,28,1038,941,10.3,517,475,1.4,742.6
2021,Wabana,2021S05100994,29,1091,1325,-17.7,700,558,2.53,432.0
2021,Prince Edward Island,2021A000211,30,154331,142907,8.0,74934,64570,5681.18,27.2
2021,Charlottetown,2021S05100159,31,52390,48054,9.0,24116,22617,57.56,910.2
2021,Kensington,2021S05100407,32,1743,1618,7.7,865,834,2.74,635.5
2021,Montague,2021S05100544,33,1896,1834,3.4,931,850,2.07,916.9
2021,Summerside,2021S05100905,34,14952,13969,7.0,6924,6643,16.97,881.2
2021,Nova Scotia,2021A000212,35,969383,923598,5.0,476007,428228,52824.71,18.4
2021,Amherst,2021S05100012,36,9548,9550,0.0,4866,4545,12.38,771.5
2021,Antigonish,2021S05100019,37,5620,5079,10.7,3212,2664,5.88,955.7
2021,Berwick,2021S05100069,38,2455,2517,-2.5,1087,1050,4.31,570.1
2021,Bridgewater,2021S05100096,39,8790,8532,3.0,4493,4260,13.63,644.9
2021,Brookside,2021S05101353,40,1439,1441,-0.1,579,562,2.81,512.0
2021,Cape Breton - Sydney,2021S05100913,41,30960,30170,2.6,15043,14070,30.91,1001.5
2021,Centreville,2021S05101446,42,1159,1129,2.7,511,500,2.36,490.2
2021,Chester,2021S05100171,43,1371,1362,0.7,840,674,3.23,424.5
2021,Digby,2021S05100229,44,2001,2060,-2.9,1133,1030,3.16,634.0
2021,Enfield - Lantz,2021S05101447,45,6583,6807,-3.3,2806,2724,11.67,563.9
2021,Eskasoni 3,2021S05101449,46,2575,2352,9.5,812,776,5.7,451.7
2021,Glace Bay,2021S05100318,47,16915,17604,-3.9,8320,7680,31.19,542.4
